treatment_1,Acupuncture,Acupuncture + AD,Any AD,Any psychotherapy,Attention placebo,Behavioural therapies individual,Behavioural therapies individual + AD,Cognitive and cognitive behavioural therapies group,Cognitive and cognitive behavioural therapies group + AD,Cognitive and cognitive behavioural therapies individual,Cognitive and cognitive behavioural therapies individual + AD,Cognitive and cognitive behavioural therapies individual + placebo,Counselling individual,Counselling individual + AD,Counselling individual + placebo,Exercise group,Exercise group + AD,Exercise individual,Exercise individual + AD,Interpersonal psychotherapy (IPT) individual,Interpersonal psychotherapy (IPT) individual + AD,Interpersonal psychotherapy (IPT) individual + placebo,Light therapy,Light therapy + AD,Mindfulness or meditation group,Mirtazapine,Music therapy group,No treatment,Peer support group,Peer support group + AD,Placebo,Problem solving group,Problem solving individual,Psychoeducation group,Psychoeducation group + AD,Relaxation individual + AD,Relaxation individual + placebo,SNRIs,SSRIs,Self-help,Self-help with support,Sham acupuncture,Short-term psychodynamic psychotherapies individual,Short-term psychodynamic psychotherapies individual + AD,TAU,TCAs,Trazodone,Waitlist,Yoga group,Yoga group + AD
Cognitive and cognitive behavioural therapies individual,0.180 (-0.748 to 0.654),-0.197 (-1.513 to 0.653),0.474 (-0.075 to 0.762),0.986 (0.426 to 2.304),1.027 (0.540 to 2.308),1.210 (0.559 to 2.526),0.347 (-0.874 to 1.052),0.211 (-0.680 to 0.654),0.141 (-1.193 to 0.667),NA,-0.072 (-1.214 to 0.653),-0.017 (-1.405 to 0.654),0.388 (-0.335 to 0.689),0.650 (-0.465 to 1.859),0.822 (-0.545 to 2.646),0.245 (-0.753 to 0.662),-1.039 (-3.764 to 0.653),0.316 (-0.608 to 0.683),-0.004 (-1.405 to 0.655),0.470 (-0.227 to 0.896),0.369 (-0.529 to 0.797),0.493 (-0.377 to 1.138),0.258 (-1.048 to 0.860),0.108 (-1.159 to 0.657),-1.406 (-4.640 to 0.653),0.376 (-0.213 to 0.656),0.327 (-1.212 to 1.311),0.660 (0.329 to 1.104),0.130 (-1.486 to 0.798),0.070 (-1.602 to 0.691),0.681 (0.472 to 1.046),-0.779 (-3.059 to 0.653),0.236 (-0.703 to 0.657),0.041 (-1.648 to 0.676),0.562 (-0.528 to 1.567),0.302 (-1.079 to 1.084),0.617 (-0.452 to 1.701),0.395 (-0.115 to 0.655),0.423 (-0.037 to 0.656),0.419 (-0.220 to 0.694),0.432 (-0.175 to 0.697),0.594 (-0.104 to 1.273),0.405 (-0.352 to 0.769),0.527 (-0.585 to 1.479),0.543 (0.021 to 0.946),0.381 (-0.126 to 0.654),0.497 (-0.014 to 0.797),1.119 (0.559 to 2.031),0.293 (-0.872 to 0.838),-0.121 (-2.077 to 0.662)
Cognitive and cognitive behavioural therapies individual + AD,0.554 (-0.124 to 1.134),0.178 (-0.883 to 0.656),0.849 (0.530 to 1.648),1.361 (0.557 to 3.158),1.402 (0.558 to 3.156),1.585 (0.559 to 3.407),0.722 (-0.186 to 1.872),0.586 (-0.080 to 1.212),0.516 (-0.520 to 1.371),0.677 (0.282 to 1.214),NA,0.358 (-0.611 to 0.836),0.762 (0.262 to 1.582),1.024 (0.232 to 2.661),1.197 (0.161 to 3.430),0.620 (-0.111 to 1.381),-0.665 (-3.078 to 0.653),0.690 (0.034 to 1.517),0.371 (-0.743 to 1.011),0.845 (0.399 to 1.775),0.744 (0.118 to 1.644),0.867 (0.293 to 1.974),0.632 (-0.361 to 1.680),0.482 (-0.490 to 1.206),-1.032 (-3.962 to 0.653),0.750 (0.384 to 1.407),0.702 (-0.533 to 2.122),1.034 (0.558 to 2.034),0.505 (-0.789 to 1.605),0.444 (-0.903 to 1.476),1.056 (0.559 to 1.974),-0.404 (-2.400 to 0.653),0.611 (-0.089 to 1.318),0.416 (-0.971 to 1.430),0.937 (0.161 to 2.382),0.677 (-0.400 to 1.894),0.992 (0.245 to 2.511),0.769 (0.457 to 1.411),0.797 (0.525 to 1.450),0.794 (0.357 to 1.608),0.807 (0.388 to 1.627),0.969 (0.530 to 2.126),0.780 (0.244 to 1.664),0.901 (0.102 to 2.296),0.918 (0.549 to 1.830),0.755 (0.445 to 1.371),0.872 (0.544 to 1.688),1.494 (0.559 to 2.964),0.668 (-0.217 to 1.670),0.254 (-1.376 to 1.183)
Cognitive and cognitive behavioural therapies individual + placebo,0.499 (-0.487 to 1.269),0.122 (-1.242 to 0.665),0.793 (0.149 to 1.817),1.305 (0.551 to 3.218),1.346 (0.555 to 3.228),1.529 (0.559 to 3.502),0.666 (-0.476 to 1.926),0.530 (-0.435 to 1.346),0.460 (-0.818 to 1.451),0.621 (-0.128 to 1.405),0.247 (-0.836 to 0.672),NA,0.707 (-0.090 to 1.712),0.969 (-0.037 to 2.699),1.141 (-0.063 to 3.440),0.564 (-0.443 to 1.487),-0.720 (-3.353 to 0.653),0.635 (-0.299 to 1.628),0.315 (-1.050 to 1.103),0.789 (0.061 to 1.900),0.688 (-0.215 to 1.750),0.812 (-0.021 to 2.066),0.577 (-0.644 to 1.739),0.426 (-0.801 to 1.287),-1.088 (-4.222 to 0.653),0.695 (-0.015 to 1.586),0.646 (-0.775 to 2.154),0.979 (0.517 to 2.190),0.449 (-1.058 to 1.656),0.389 (-1.170 to 1.521),1.000 (0.546 to 2.170),-0.460 (-2.685 to 0.653),0.555 (-0.421 to 1.436),0.360 (-1.237 to 1.470),0.881 (-0.111 to 2.432),0.621 (-0.662 to 1.940),0.936 (-0.029 to 2.562),0.714 (0.043 to 1.603),0.742 (0.108 to 1.648),0.738 (-0.002 to 1.752),0.751 (0.025 to 1.770),0.913 (0.215 to 2.228),0.724 (-0.093 to 1.786),0.846 (-0.166 to 2.340),0.862 (0.258 to 1.982),0.700 (0.025 to 1.561),0.816 (0.207 to 1.853),1.438 (0.559 to 3.119),0.612 (-0.513 to 1.747),0.198 (-1.643 to 1.213)
Counselling individual,0.094 (-1.092 to 0.655),-0.282 (-1.860 to 0.653),0.389 (-0.459 to 0.801),0.901 (0.128 to 2.254),0.942 (0.374 to 2.178),1.124 (0.554 to 2.512),0.262 (-1.144 to 0.982),0.125 (-1.012 to 0.655),0.056 (-1.487 to 0.665),0.217 (-0.679 to 0.654),-0.158 (-1.582 to 0.653),-0.102 (-1.712 to 0.654),NA,0.564 (-0.729 to 1.770),0.737 (-0.791 to 2.544),0.160 (-1.053 to 0.661),-1.125 (-4.028 to 0.653),0.230 (-0.911 to 0.674),-0.089 (-1.694 to 0.655),0.385 (-0.570 to 0.901),0.284 (-0.847 to 0.771),0.407 (-0.684 to 1.098),0.172 (-1.312 to 0.787),0.022 (-1.456 to 0.657),-1.492 (-4.876 to 0.653),0.290 (-0.601 to 0.663),0.242 (-1.444 to 1.193),0.574 (-0.010 to 1.096),0.045 (-1.749 to 0.729),-0.016 (-1.861 to 0.675),0.595 (0.048 to 1.121),-0.864 (-3.323 to 0.653),0.151 (-0.877 to 0.654),-0.044 (-1.885 to 0.667),0.476 (-0.790 to 1.494),0.217 (-1.346 to 0.998),0.532 (-0.719 to 1.630),0.309 (-0.530 to 0.663),0.337 (-0.464 to 0.668),0.334 (-0.525 to 0.680),0.346 (-0.539 to 0.713),0.509 (-0.399 to 1.228),0.320 (-0.705 to 0.779),0.441 (-0.854 to 1.421),0.457 (-0.307 to 0.928),0.295 (-0.548 to 0.660),0.412 (-0.389 to 0.828),1.034 (0.558 to 2.035),0.208 (-1.144 to 0.764),-0.206 (-2.340 to 0.660)
Counselling individual + AD,-0.168 (-2.172 to 0.659),-0.544 (-2.919 to 0.653),0.127 (-1.499 to 0.786),0.639 (-0.824 to 2.159),0.680 (-0.667 to 2.181),0.863 (-0.240 to 2.478),0.000 (-1.628 to 0.661),-0.136 (-2.116 to 0.661),-0.206 (-2.396 to 0.662),-0.045 (-1.859 to 0.664),-0.420 (-2.661 to 0.654),-0.364 (-2.699 to 0.655),0.041 (-1.770 to 0.730),NA,0.475 (-0.754 to 1.441),-0.102 (-2.101 to 0.666),-1.387 (-4.941 to 0.653),-0.032 (-1.960 to 0.681),-0.351 (-2.671 to 0.656),0.123 (-1.604 to 0.886),0.022 (-1.839 to 0.713),0.146 (-1.645 to 1.018),-0.090 (-2.257 to 0.693),-0.240 (-2.433 to 0.659),-1.754 (-5.778 to 0.653),0.029 (-1.724 to 0.679),-0.020 (-2.341 to 1.049),0.312 (-1.182 to 1.220),-0.217 (-2.594 to 0.671),-0.278 (-2.710 to 0.664),0.334 (-1.091 to 1.202),-1.126 (-4.307 to 0.653),-0.111 (-2.100 to 0.665),-0.306 (-2.818 to 0.665),0.215 (-1.679 to 1.332),-0.045 (-2.114 to 0.732),0.270 (-1.488 to 1.350),0.047 (-1.667 to 0.682),0.076 (-1.608 to 0.698),0.072 (-1.694 to 0.766),0.085 (-1.664 to 0.788),0.247 (-1.434 to 1.201),0.058 (-1.768 to 0.785),0.180 (-1.228 to 0.734),0.196 (-1.434 to 1.005),0.033 (-1.693 to 0.675),0.150 (-1.498 to 0.875),0.772 (-0.273 to 2.146),-0.054 (-2.137 to 0.704),-0.468 (-3.174 to 0.658)
Counselling individual + placebo,-0.340 (-2.946 to 0.664),-0.717 (-3.690 to 0.654),-0.046 (-2.284 to 0.879),0.466 (-1.530 to 2.165),0.507 (-1.390 to 2.211),0.690 (-0.972 to 2.509),-0.173 (-2.455 to 0.673),-0.309 (-2.877 to 0.666),-0.379 (-3.120 to 0.665),-0.218 (-2.646 to 0.673),-0.592 (-3.430 to 0.655),-0.537 (-3.440 to 0.658),-0.132 (-2.544 to 0.791),0.130 (-1.441 to 0.754),NA,-0.275 (-2.852 to 0.672),-1.559 (-5.634 to 0.653),-0.204 (-2.716 to 0.694),-0.524 (-3.398 to 0.658),-0.050 (-2.362 to 0.947),-0.151 (-2.592 to 0.765),-0.027 (-2.392 to 1.055),-0.262 (-2.967 to 0.700),-0.412 (-3.174 to 0.662),-1.926 (-6.462 to 0.653),-0.144 (-2.498 to 0.707),-0.193 (-3.007 to 1.030),0.140 (-1.961 to 1.289),-0.390 (-3.286 to 0.673),-0.450 (-3.406 to 0.667),0.161 (-1.879 to 1.297),-1.298 (-5.024 to 0.653),-0.283 (-2.857 to 0.670),-0.479 (-3.504 to 0.667),0.042 (-2.387 to 1.334),-0.218 (-2.844 to 0.748),0.098 (-2.198 to 1.385),-0.125 (-2.454 to 0.721),-0.097 (-2.392 to 0.780),-0.101 (-2.458 to 0.831),-0.088 (-2.425 to 0.854),0.075 (-2.176 to 1.242),-0.115 (-2.529 to 0.848),0.007 (-2.056 to 0.872),0.023 (-2.210 to 1.075),-0.139 (-2.483 to 0.704),-0.022 (-2.267 to 0.959),0.599 (-1.046 to 2.219),-0.227 (-2.864 to 0.732),-0.641 (-3.849 to 0.659)
Exercise group,0.237 (-0.891 to 0.676),-0.140 (-1.634 to 0.653),0.531 (-0.267 to 1.180),1.043 (0.359 to 2.600),1.084 (0.521 to 2.612),1.267 (0.557 to 2.885),0.404 (-0.916 to 1.325),0.268 (-0.819 to 0.697),0.198 (-1.257 to 0.854),0.359 (-0.524 to 0.753),-0.015 (-1.381 to 0.654),0.040 (-1.487 to 0.662),0.445 (-0.478 to 1.053),0.707 (-0.483 to 2.101),0.879 (-0.533 to 2.852),NA,-0.982 (-3.771 to 0.653),0.373 (-0.625 to 0.909),0.053 (-1.456 to 0.662),0.527 (-0.367 to 1.262),0.426 (-0.635 to 1.127),0.550 (-0.455 to 1.447),0.315 (-1.075 to 1.123),0.165 (-1.217 to 0.690),-1.349 (-4.634 to 0.653),0.433 (-0.404 to 0.926),0.384 (-1.197 to 1.525),0.717 (0.186 to 1.472),0.187 (-1.509 to 1.051),0.127 (-1.636 to 0.932),0.738 (0.247 to 1.500),-0.721 (-3.123 to 0.653),0.294 (-0.832 to 0.791),0.098 (-1.650 to 0.836),0.619 (-0.566 to 1.830),0.359 (-1.106 to 1.341),0.675 (-0.467 to 1.958),0.452 (-0.338 to 0.936),0.480 (-0.266 to 0.982),0.476 (-0.394 to 1.094),0.489 (-0.373 to 1.119),0.652 (-0.201 to 1.596),0.462 (-0.508 to 1.156),0.584 (-0.617 to 1.748),0.600 (-0.077 to 1.267),0.438 (-0.357 to 0.901),0.555 (-0.183 to 1.192),1.177 (0.558 to 2.461),0.350 (-0.935 to 1.123),-0.064 (-2.102 to 0.683)
Exercise group + AD,1.521 (0.558 to 3.570),1.145 (0.531 to 2.814),1.816 (0.559 to 4.163),2.328 (0.559 to 5.467),2.369 (0.559 to 5.489),2.552 (0.559 to 5.786),1.689 (0.558 to 4.177),1.553 (0.558 to 3.662),1.483 (0.554 to 3.730),1.644 (0.559 to 3.764),1.269 (0.551 to 3.078),1.325 (0.549 to 3.353),1.729 (0.559 to 4.028),1.991 (0.559 to 4.941),2.164 (0.558 to 5.634),1.587 (0.558 to 3.771),NA,1.657 (0.559 to 3.914),1.338 (0.550 to 3.381),1.812 (0.559 to 4.203),1.711 (0.559 to 4.049),1.834 (0.559 to 4.339),1.599 (0.557 to 3.979),1.449 (0.556 to 3.567),-0.065 (-2.354 to 0.886),1.717 (0.559 to 3.899),1.669 (0.555 to 4.379),2.001 (0.559 to 4.516),1.472 (0.549 to 3.887),1.411 (0.544 to 3.767),2.023 (0.559 to 4.487),0.563 (-0.869 to 1.915),1.578 (0.558 to 3.744),1.383 (0.540 to 3.705),1.904 (0.559 to 4.680),1.644 (0.557 to 4.176),1.959 (0.559 to 4.786),1.736 (0.559 to 3.919),1.764 (0.559 to 3.971),1.761 (0.559 to 4.066),1.774 (0.559 to 4.091),1.936 (0.559 to 4.495),1.747 (0.559 to 4.097),1.869 (0.559 to 4.603),1.885 (0.559 to 4.310),1.722 (0.559 to 3.887),1.839 (0.559 to 4.157),2.461 (0.559 to 5.440),1.635 (0.558 to 4.003),1.221 (0.216 to 3.467)
Exercise individual,0.166 (-1.015 to 0.661),-0.210 (-1.765 to 0.653),0.461 (-0.396 to 1.032),0.973 (0.211 to 2.464),1.014 (0.385 to 2.457),1.197 (0.554 to 2.732),0.334 (-1.045 to 1.168),0.198 (-0.958 to 0.665),0.128 (-1.391 to 0.707),0.289 (-0.661 to 0.671),-0.086 (-1.517 to 0.653),-0.030 (-1.628 to 0.657),0.374 (-0.617 to 0.911),0.636 (-0.623 to 1.960),0.809 (-0.673 to 2.716),0.232 (-0.909 to 0.676),-1.053 (-3.914 to 0.653),NA,-0.017 (-1.526 to 0.656),0.457 (-0.492 to 1.113),0.356 (-0.763 to 0.975),0.479 (-0.587 to 1.301),0.244 (-1.209 to 0.972),0.094 (-1.350 to 0.665),-1.420 (-4.767 to 0.653),0.362 (-0.529 to 0.769),0.314 (-1.325 to 1.374),0.646 (0.066 to 1.312),0.117 (-1.640 to 0.909),0.056 (-1.768 to 0.781),0.668 (0.120 to 1.341),-0.792 (-3.256 to 0.653),0.223 (-0.959 to 0.681),0.028 (-1.779 to 0.697),0.549 (-0.694 to 1.679),0.289 (-1.242 to 1.190),0.604 (-0.609 to 1.812),0.381 (-0.461 to 0.777),0.409 (-0.392 to 0.824),0.406 (-0.528 to 0.949),0.419 (-0.499 to 0.970),0.581 (-0.329 to 1.446),0.392 (-0.644 to 1.005),0.514 (-0.756 to 1.600),0.530 (-0.274 to 1.186),0.367 (-0.488 to 0.746),0.484 (-0.308 to 1.040),1.106 (0.557 to 2.316),0.280 (-1.067 to 0.982),-0.134 (-2.237 to 0.667)
Exercise individual + AD,0.486 (-0.528 to 1.255),0.110 (-1.284 to 0.664),0.780 (0.158 to 1.747),1.292 (0.550 to 3.198),1.333 (0.555 to 3.211),1.516 (0.558 to 3.483),0.653 (-0.508 to 1.898),0.517 (-0.461 to 1.317),0.447 (-0.819 to 1.393),0.608 (-0.184 to 1.405),0.234 (-1.011 to 0.743),0.289 (-1.103 to 1.050),0.694 (-0.123 to 1.694),0.956 (-0.049 to 2.671),1.128 (-0.081 to 3.398),0.551 (-0.462 to 1.456),-0.733 (-3.381 to 0.653),0.622 (-0.246 to 1.526),NA,0.776 (0.022 to 1.869),0.675 (-0.220 to 1.712),0.799 (-0.047 to 2.034),0.564 (-0.670 to 1.717),0.414 (-0.832 to 1.280),-1.100 (-4.224 to 0.653),0.682 (-0.063 to 1.577),0.633 (-0.784 to 2.108),0.966 (0.513 to 2.136),0.436 (-1.053 to 1.594),0.376 (-1.175 to 1.467),0.987 (0.540 to 2.161),-0.472 (-2.722 to 0.653),0.543 (-0.463 to 1.423),0.347 (-1.241 to 1.430),0.868 (-0.119 to 2.388),0.609 (-0.696 to 1.927),0.924 (-0.060 to 2.542),0.701 (0.002 to 1.593),0.729 (0.062 to 1.639),0.726 (-0.046 to 1.735),0.738 (-0.009 to 1.754),0.901 (0.183 to 2.210),0.712 (-0.136 to 1.768),0.833 (-0.178 to 2.310),0.849 (0.214 to 1.973),0.687 (-0.024 to 1.560),0.804 (0.161 to 1.836),1.426 (0.559 to 3.106),0.599 (-0.535 to 1.726),0.186 (-1.638 to 1.170)
Interpersonal psychotherapy (IPT) individual,0.012 (-1.290 to 0.654),-0.364 (-2.041 to 0.653),0.306 (-0.574 to 0.667),0.818 (-0.060 to 2.117),0.859 (0.096 to 2.126),1.042 (0.539 to 2.379),0.179 (-1.319 to 0.823),0.043 (-1.226 to 0.654),-0.027 (-1.620 to 0.657),0.134 (-0.896 to 0.654),-0.240 (-1.775 to 0.653),-0.185 (-1.900 to 0.654),0.220 (-0.901 to 0.667),0.482 (-0.886 to 1.604),0.654 (-0.947 to 2.362),0.077 (-1.262 to 0.658),-1.207 (-4.203 to 0.653),0.148 (-1.113 to 0.662),-0.172 (-1.869 to 0.654),NA,0.201 (-0.933 to 0.664),0.325 (-0.756 to 0.848),0.090 (-1.496 to 0.683),-0.060 (-1.633 to 0.655),-1.574 (-5.083 to 0.653),0.208 (-0.794 to 0.657),0.159 (-1.656 to 1.079),0.492 (-0.272 to 1.029),-0.038 (-1.889 to 0.669),-0.098 (-2.005 to 0.663),0.513 (-0.147 to 0.988),-0.946 (-3.534 to 0.653),0.069 (-1.241 to 0.656),-0.127 (-2.098 to 0.662),0.394 (-0.922 to 1.292),0.135 (-1.523 to 0.852),0.450 (-0.886 to 1.475),0.227 (-0.725 to 0.657),0.255 (-0.659 to 0.658),0.252 (-0.804 to 0.671),0.264 (-0.771 to 0.673),0.427 (-0.599 to 1.106),0.238 (-0.909 to 0.681),0.359 (-0.996 to 1.225),0.375 (-0.547 to 0.836),0.213 (-0.744 to 0.656),0.330 (-0.582 to 0.699),0.952 (0.548 to 1.965),0.125 (-1.348 to 0.681),-0.288 (-2.480 to 0.656)
Interpersonal psychotherapy (IPT) individual + AD,0.113 (-1.168 to 0.658),-0.263 (-1.915 to 0.653),0.407 (-0.413 to 0.835),0.919 (0.098 to 2.374),0.960 (0.240 to 2.385),1.143 (0.550 to 2.646),0.280 (-1.160 to 1.074),0.144 (-1.102 to 0.660),0.074 (-1.446 to 0.667),0.235 (-0.797 to 0.663),-0.139 (-1.644 to 0.653),-0.084 (-1.750 to 0.656),0.321 (-0.771 to 0.847),0.583 (-0.711 to 1.839),0.755 (-0.765 to 2.592),0.178 (-1.127 to 0.679),-1.106 (-4.049 to 0.653),0.249 (-0.975 to 0.763),-0.071 (-1.712 to 0.656),0.403 (-0.526 to 0.933),NA,0.426 (-0.588 to 1.083),0.191 (-1.340 to 0.891),0.041 (-1.484 to 0.661),-1.473 (-4.924 to 0.653),0.309 (-0.674 to 0.704),0.260 (-1.493 to 1.321),0.593 (-0.155 to 1.314),0.063 (-1.707 to 0.760),0.003 (-1.821 to 0.682),0.614 (-0.033 to 1.278),-0.845 (-3.396 to 0.653),0.170 (-1.110 to 0.669),-0.026 (-1.942 to 0.684),0.495 (-0.606 to 1.375),0.236 (-1.370 to 1.094),0.551 (-0.726 to 1.718),0.328 (-0.600 to 0.708),0.356 (-0.545 to 0.760),0.353 (-0.675 to 0.882),0.365 (-0.649 to 0.898),0.528 (-0.470 to 1.366),0.338 (-0.773 to 0.928),0.460 (-0.830 to 1.461),0.476 (-0.414 to 1.116),0.314 (-0.628 to 0.690),0.431 (-0.451 to 0.971),1.053 (0.554 to 2.245),0.226 (-1.201 to 0.894),-0.187 (-2.296 to 0.661)
Interpersonal psychotherapy (IPT) individual + placebo,-0.011 (-1.485 to 0.656),-0.387 (-2.228 to 0.653),0.284 (-0.795 to 0.719),0.796 (-0.205 to 2.179),0.837 (-0.067 to 2.195),1.019 (0.405 to 2.466),0.157 (-1.470 to 0.889),0.020 (-1.427 to 0.657),-0.049 (-1.785 to 0.660),0.112 (-1.138 to 0.657),-0.263 (-1.974 to 0.653),-0.207 (-2.066 to 0.655),0.197 (-1.098 to 0.695),0.459 (-1.018 to 1.645),0.632 (-1.055 to 2.392),0.055 (-1.447 to 0.662),-1.230 (-4.339 to 0.653),0.125 (-1.301 to 0.672),-0.194 (-2.034 to 0.655),0.280 (-0.848 to 0.756),0.179 (-1.083 to 0.670),NA,0.067 (-1.650 to 0.710),-0.083 (-1.800 to 0.657),-1.597 (-5.225 to 0.653),0.185 (-1.009 to 0.665),0.137 (-1.784 to 1.122),0.469 (-0.486 to 1.157),-0.060 (-2.019 to 0.674),-0.121 (-2.156 to 0.665),0.490 (-0.366 to 1.117),-0.969 (-3.698 to 0.653),0.046 (-1.435 to 0.659),-0.149 (-2.241 to 0.665),0.371 (-1.054 to 1.335),0.112 (-1.661 to 0.901),0.427 (-1.027 to 1.517),0.204 (-0.943 to 0.666),0.232 (-0.881 to 0.671),0.229 (-1.005 to 0.719),0.241 (-0.971 to 0.730),0.404 (-0.786 to 1.189),0.215 (-1.100 to 0.753),0.336 (-1.148 to 1.289),0.352 (-0.746 to 0.949),0.190 (-0.960 to 0.663),0.307 (-0.787 to 0.811),0.929 (0.421 to 2.079),0.103 (-1.502 to 0.711),-0.311 (-2.610 to 0.657)
Light therapy,0.224 (-1.173 to 0.861),-0.152 (-1.920 to 0.655),0.519 (-0.576 to 1.445),1.031 (0.129 to 2.794),1.072 (0.277 to 2.806),1.254 (0.549 to 3.093),0.392 (-1.125 to 1.481),0.256 (-1.139 to 0.946),0.186 (-1.499 to 1.033),0.347 (-0.860 to 1.048),-0.028 (-1.680 to 0.659),0.028 (-1.739 to 0.684),0.432 (-0.787 to 1.312),0.694 (-0.675 to 2.257),0.867 (-0.685 to 2.967),0.290 (-1.123 to 1.075),-0.995 (-3.979 to 0.653),0.360 (-0.972 to 1.209),0.041 (-1.717 to 0.691),0.515 (-0.649 to 1.496),0.414 (-0.891 to 1.340),0.537 (-0.708 to 1.650),NA,0.152 (-1.299 to 0.707),-1.362 (-4.852 to 0.653),0.420 (-0.707 to 1.178),0.372 (-1.422 to 1.700),0.704 (-0.195 to 1.795),0.175 (-1.720 to 1.214),0.114 (-1.837 to 1.090),0.726 (-0.067 to 1.761),-0.734 (-3.364 to 0.653),0.281 (-1.118 to 1.032),0.086 (-1.890 to 1.023),0.607 (-0.777 to 2.000),0.347 (-1.309 to 1.482),0.662 (-0.674 to 2.113),0.439 (-0.645 to 1.193),0.467 (-0.583 to 1.244),0.464 (-0.708 to 1.352),0.476 (-0.675 to 1.382),0.639 (-0.452 to 1.797),0.450 (-0.791 to 1.385),0.571 (-0.834 to 1.919),0.587 (-0.458 to 1.602),0.425 (-0.679 to 1.165),0.542 (-0.477 to 1.443),1.164 (0.550 to 2.731),0.338 (-1.175 to 1.313),-0.076 (-2.300 to 0.768)
Light therapy + AD,0.374 (-0.704 to 0.986),-0.002 (-1.446 to 0.655),0.669 (-0.103 to 1.568),1.181 (0.532 to 2.966),1.222 (0.549 to 2.958),1.405 (0.558 to 3.248),0.542 (-0.698 to 1.655),0.406 (-0.668 to 1.078),0.336 (-1.077 to 1.206),0.497 (-0.378 to 1.159),0.122 (-1.206 to 0.663),0.178 (-1.287 to 0.801),0.583 (-0.327 to 1.456),0.844 (-0.262 to 2.433),1.017 (-0.295 to 3.174),0.440 (-0.674 to 1.217),-0.845 (-3.567 to 0.653),0.510 (-0.514 to 1.350),0.191 (-1.280 to 0.832),0.665 (-0.187 to 1.633),0.564 (-0.435 to 1.484),0.688 (-0.262 to 1.800),0.452 (-0.704 to 1.299),NA,-1.212 (-4.450 to 0.653),0.571 (-0.216 to 1.286),0.522 (-1.014 to 1.901),0.854 (0.290 to 1.922),0.325 (-1.299 to 1.396),0.264 (-1.426 to 1.272),0.876 (0.429 to 1.862),-0.584 (-2.923 to 0.653),0.431 (-0.652 to 1.169),0.236 (-1.480 to 1.204),0.757 (-0.358 to 2.161),0.497 (-0.881 to 1.662),0.812 (-0.251 to 2.289),0.589 (-0.140 to 1.289),0.618 (-0.090 to 1.347),0.614 (-0.235 to 1.485),0.627 (-0.210 to 1.506),0.789 (-0.002 to 1.950),0.600 (-0.330 to 1.526),0.722 (-0.420 to 2.089),0.738 (0.009 to 1.735),0.575 (-0.180 to 1.270),0.692 (0.005 to 1.552),1.314 (0.559 to 2.849),0.488 (-0.738 to 1.465),0.074 (-1.878 to 0.972)
Mindfulness or meditation group,1.888 (0.559 to 4.477),1.512 (0.556 to 3.725),2.183 (0.559 to 5.039),2.695 (0.559 to 6.320),2.736 (0.559 to 6.334),2.919 (0.559 to 6.646),2.056 (0.559 to 5.050),1.920 (0.559 to 4.520),1.850 (0.558 to 4.583),2.011 (0.559 to 4.640),1.636 (0.558 to 3.962),1.692 (0.558 to 4.222),2.097 (0.559 to 4.876),2.358 (0.559 to 5.778),2.531 (0.559 to 6.462),1.954 (0.559 to 4.634),0.669 (-0.886 to 2.354),2.024 (0.559 to 4.767),1.705 (0.558 to 4.224),2.179 (0.559 to 5.083),2.078 (0.559 to 4.924),2.202 (0.559 to 5.225),1.967 (0.559 to 4.852),1.816 (0.558 to 4.450),NA,2.085 (0.559 to 4.817),2.036 (0.559 to 5.130),2.368 (0.559 to 5.293),1.839 (0.557 to 4.731),1.779 (0.557 to 4.618),2.390 (0.559 to 5.405),0.930 (-0.248 to 2.768),1.945 (0.559 to 4.603),1.750 (0.557 to 4.469),2.271 (0.559 to 5.533),2.011 (0.559 to 5.037),2.326 (0.559 to 5.661),2.103 (0.559 to 4.840),2.132 (0.559 to 4.891),2.128 (0.559 to 4.923),2.141 (0.559 to 4.947),2.303 (0.559 to 5.381),2.114 (0.559 to 4.964),2.236 (0.559 to 5.465),2.252 (0.559 to 5.180),2.089 (0.559 to 4.808),2.206 (0.559 to 5.074),2.828 (0.559 to 6.315),2.002 (0.559 to 4.870),1.588 (0.549 to 4.298)
