removed_direct_comp,n_affected,mean_abs_change,median_abs_change,p95_abs_change,max_abs_change,n_large_01,n_large_02
TCAs:Trazodone,128,8.661328125000021e-4,0,3.5475000000008937e-4,0.104972,1,0
SNRIs:Trazodone,128,8.223046875e-4,0,7.932500000000815e-4,0.09223899999999996,0,0
Cognitive and cognitive behavioural therapies individual + AD:SSRIs,126,8.032777777777836e-4,0,3.240000000000465e-4,0.07462000000000002,0,0
Cognitive and cognitive behavioural therapies individual:Short-term psychodynamic psychotherapies individual,127,6.595984251968503e-4,0,2.4880000000003684e-4,0.079837,0,0
Exercise group:Exercise individual,125,5.812320000000077e-4,0,1.0940000000028149e-4,0.065091,0,0
Exercise group:Placebo,125,5.812320000000077e-4,0,1.0940000000028149e-4,0.065091,0,0
Exercise group:SSRIs,125,5.812320000000077e-4,0,1.0940000000028149e-4,0.065091,0,0
Exercise individual:Placebo,125,5.812320000000077e-4,0,1.0940000000028149e-4,0.065091,0,0
Exercise individual:No treatment,125,5.038799999999967e-4,0,1.4699999999985281e-4,0.051862,0,0
Mirtazapine:Placebo,128,4.139296874999955e-4,0,0.001318499999999818,0.02812400000000001,0,0
Acupuncture + AD:SSRIs,128,2.723124999999969e-4,0,0.0015441500000000232,0.00553800000000004,0,0
Mirtazapine:SSRIs,128,2.6988281250000384e-4,0,0.0014848000000000211,0.00542900000000012,0,0
Acupuncture:SSRIs,128,1.5033593749999463e-4,0,8.11399999999987e-4,0.00332299999999996,0,0
Placebo:Trazodone,128,1.3832031250000546e-4,0,7.616999999999862e-4,0.00277299999999991,0,0
SSRIs:Trazodone,128,1.2946875000000363e-4,0,7.195000000000079e-4,0.00261899999999992,0,0
Behavioural therapies individual + AD:Placebo,120,1.229500000000024e-4,0,8.715000000016903e-5,0.01351899999999994,0,0
Behavioural therapies individual + AD:Relaxation individual + AD,120,1.229500000000024e-4,0,8.715000000016903e-5,0.01351899999999994,0,0
Behavioural therapies individual + AD:Relaxation individual + placebo,120,1.229500000000024e-4,0,8.715000000016903e-5,0.01351899999999994,0,0
Behavioural therapies individual + AD:TCAs,120,1.229500000000024e-4,0,8.715000000016903e-5,0.01351899999999994,0,0
Placebo:Relaxation individual + AD,120,1.229500000000024e-4,0,8.715000000016903e-5,0.01351899999999994,0,0
Placebo:Relaxation individual + placebo,120,1.229500000000024e-4,0,8.715000000016903e-5,0.01351899999999994,0,0
Relaxation individual + AD:Relaxation individual + placebo,120,1.229500000000024e-4,0,8.715000000016903e-5,0.01351899999999994,0,0
Relaxation individual + AD:TCAs,120,1.229500000000024e-4,0,8.715000000016903e-5,0.01351899999999994,0,0
Relaxation individual + placebo:TCAs,120,1.229500000000024e-4,0,8.715000000016903e-5,0.01351899999999994,0,0
Any AD:Cognitive and cognitive behavioural therapies individual + AD,128,1.1408593749999647e-4,0,6.308000000000388e-4,0.00227399999999988,0,0
Behavioural therapies individual:Cognitive and cognitive behavioural therapies individual,128,9.307031249999692e-5,0,4.868499999999775e-4,0.002,0,0
Behavioural therapies individual:SSRIs,128,7.338281249999519e-5,0,4.0545000000003433e-4,0.0014639999999999,0,0
Placebo:Problem solving individual,127,6.340944881890241e-5,0,2.3530000000013718e-4,0.00433800000000006,0,0
