studyid,pooled_sd_study
Mathews 2015,10.050022864186026
McCallum 1975,7.037400088100716
McKnight 1992,7.611898740723263
McNamara 1986,5.584694006197398
Mehtonen 2000,4.020850827786371
Mendels 1993,9.32024291528928
Mendels 1999,5.454488852746817
Miller 1989a,6.6317418526357015
Miranda 2003/2006,4.5082573230583325
Miura 2000,11.29055100763797
Moak 2003,5.802919523825916
Mohr 2011,4.960865645409807
Moises 1981,7.114070564732966
Moller 1993,6.993222676183907
Moller 1998,9.348873117730745
Moller 2000,7.148943219984446
Montgomery 1992,11.173292014901508
Montgomery 2004,6.512798810028825
Moradveisi 2013,6.601803691329949
Mowla 2016,3.524529428492216
Mullin 1996,7.502666192761077
Mulsant 1999,3.9074951719123736
Mundt 2012,6.144616398084721
Munizza 2006,8.697879389963564
Murphy 1984,5.14222552338317
Murri 2015,5.333554792320884
Mynors-Wallis 1995,6.195986859617843
NCT01020799,10.462787147486898
NKD20006 (NCT00048204),7.849944643198929
Naeem 2014,3.4827118410738227
Naeem 2015,3.6879684259916177
Navarro 2001,5.852114367217772
Nemeroff 2007,3.233457267637744
Nezu 1989,6.632681574210003
Nierenberg 2007,6.783273675896804
Noguera 1991,4.895906453354679
Nyth 1992,9.507746941752128
Olie 1997,6.429742219085639
Owens 2008,8.794805644760658
Ozdemir 2015,5.796015872994141
PAR 01 001 (GSK & FDA),7.93
Paslakis 2010,5.483021923334312
Perahia 2006,6.897725572806019
Philipp 1999,7.330345130452155
Preskorn 1991,6.972631225505659
Qu 2013,7.551933668118356
Quah-Smith 2005,6.018128169677567
Quah-Smith 2013,5.091981277786998
Quilty 2014,5.7500842278571
Rapaport 2009,8.009862974549575
Raskin 2007,6.203920301194086
Ratti 2011_study 096,5.7120430580866515
Reimherr 1990,8.021815817471376
Richou 1995,5.552026656996524
Rickels 1992,5.5852520414903815
Rickels 1994,2.077071092746785
Rickhi 2011,4.715287798681036
Robinson 2014,7.415049368875243
Roose 2004,4.097900767182439
Ropert 1989,6.85005586153299
Roy 2018,4.351132036608404
Rush 1977/Kovacs 1981,9.33166940296075
SER 315 (FDA),8.402399045642989
Sahranavard 2018,2.9629489814484953
Salminen 2008,5.614631032637234
Saloheimo 2016,6.373071603761146
Samuelian 1998,11.15902661525634
Sauer 2003,6.152364853338153
Schatzberg 2002,3.5
Schmidt 1983,8.860424108620048
Schweizer 1991,9.81251120774585
Schweizer 1994,9.434369789940042
Schweizer 1998,5.852731356946396
Scott 1992,6.746073389227211
Serrano-Blanco 2006,8.712809161129428
Sharma 2005,4.2451796192858575
Sheehan 2009a,8.050654914629956
Sheehan 2009b,8.094597352166835
Shelton 2006,5.550675634551169
Silverstone 1994,4.296250594754958
Singh 2005,6.996345199734368
Sir 2005,8.39512060663812
Smeraldi 1998b,10.288040263096246
Sneed 2014,6.802054212665902
Solati 2016,3.861120303746052
Spring 1992,7.961865632364445
Sramek 1995,6.500219776504264
Staner 1995,8.519914751241418
Stark 1985,9.768560596085944
Study 62b (FDA),11.759745258150168
Study 89306 (FDA),17.133617157517236
Study F1J-MC-HMAQ - Study Group B,6.878764346194837
Suleman 1997,2.7838821814150125
Sun 2013,4.11904464816289
Thase 2018,5.205766033928148
Tollefson 1993/1995,7.35310250070752
Tollefson 1994,7.367886399775719
Tong 2020,4.475004482263573
Tsutsui 2000,9.2
Tylee 1997,6.544227946770451
Tzanakaki 2000,5.6
Umadevi 2013,4.682670959727278
VEN 600A-303 (FDA),8.45
VEN 600A-313 (FDA),10.740260704470817
VEN XR 367 (FDA),10.599760119562832
Valle-Cabrera 2018,2.558906016249913
Van Moffaert 1995b,5.000999900019996
Versiani 1989,5.050556136105273
Versiani 1999,7.40197411365514
Versiani 2005,7.03487050906253
WELL AK1A4006,10.311860905892095
Wade 2002,7.9076418735296805
Wade 2007,5.995849585838852
Wang 2013,6.8463603469288685
Wang 2014a,3.142538897871856
Wang 2014c,6.704945432068236
Ward 2000/King 2000,9.99614358630057
Wernicke 1987,14.211739080661204
Wernicke 1988,10.90845628879958
Wheatley 1998,5.994619210165124
White 1984,8.523334377792686
Wilson 1982,8.441709305584977
Wright 2005,6.150880695748645
Zhang 2007a,5.227953710583134
Zhang 2014,6.5
Zhang 2019,2.1166010488516704
Zhao 2006,10.309442011796497
Zhao 2019a,6.846585088087425
Zivkov 1995,8.705843538205345
Zu 2014,5.552026656996524
