removed_direct_comp,removed_direct_norm,n_removed_studies,status,status_msg,disconnected_flag,n_common_estimable,mean_abs_change_all,max_abs_change_all,n_common_directtype,mean_abs_change_directtype,max_abs_change_directtype,n_common_indirecttype,mean_abs_change_indirecttype,max_abs_change_indirecttype
Cognitive and cognitive behavioural therapies individual:Self-help with support,Cognitiveandcognitivebehaviouraltherapiesindividual:Self-helpwithsupport,3,ok,Model + league + compare succeeded,FALSE,127,0.006976370078740164,0.5162749999999998,127,0.006976370078740164,0.5162749999999998,0,NA,-Inf
Any AD:Interpersonal psychotherapy (IPT) individual,AnyAD:Interpersonalpsychotherapy(IPT)individual,2,ok,Model + league + compare succeeded,FALSE,124,0.005678854838709682,0.4966,124,0.005678854838709682,0.4966,0,NA,-Inf
Cognitive and cognitive behavioural therapies individual:No treatment,Cognitiveandcognitivebehaviouraltherapiesindividual:Notreatment,3,ok,Model + league + compare succeeded,FALSE,127,0.003902472440944888,0.491201,127,0.003902472440944888,0.491201,0,NA,-Inf
No treatment:Self-help,Notreatment:Self-help,1,ok,Model + league + compare succeeded,FALSE,128,0.004685484374999997,0.491201,128,0.004685484374999997,0.491201,0,NA,-Inf
Any AD:Psychoeducation group + AD,AnyAD:Psychoeducationgroup+AD,1,ok,Model + league + compare succeeded,FALSE,127,0.0037835826771653617,0.47932899999999995,127,0.0037835826771653617,0.47932899999999995,0,NA,-Inf
Interpersonal psychotherapy (IPT) individual + AD:Psychoeducation group + AD,Interpersonalpsychotherapy(IPT)individual+AD:Psychoeducationgroup+AD,1,ok,Model + league + compare succeeded,FALSE,127,0.0037835826771653617,0.47932899999999995,127,0.0037835826771653617,0.47932899999999995,0,NA,-Inf
Cognitive and cognitive behavioural therapies individual:TCAs,Cognitiveandcognitivebehaviouraltherapiesindividual:TCAs,6,ok,Model + league + compare succeeded,FALSE,121,0.006906735537190086,0.327956,121,0.006906735537190086,0.327956,0,NA,-Inf
Cognitive and cognitive behavioural therapies individual:Cognitive and cognitive behavioural therapies individual + AD,Cognitiveandcognitivebehaviouraltherapiesindividual:Cognitiveandcognitivebehaviouraltherapiesindividual+AD,3,ok,Model + league + compare succeeded,FALSE,123,0.005144869918699192,0.327956,123,0.005144869918699192,0.327956,0,NA,-Inf
Cognitive and cognitive behavioural therapies individual + AD:TCAs,Cognitiveandcognitivebehaviouraltherapiesindividual+AD:TCAs,2,ok,Model + league + compare succeeded,FALSE,126,0.004652420634920644,0.327956,126,0.004652420634920644,0.327956,0,NA,-Inf
Cognitive and cognitive behavioural therapies individual:Cognitive and cognitive behavioural therapies individual + placebo,Cognitiveandcognitivebehaviouraltherapiesindividual:Cognitiveandcognitivebehaviouraltherapiesindividual+placebo,1,ok,Model + league + compare succeeded,FALSE,127,0.004376299212598431,0.327956,127,0.004376299212598431,0.327956,0,NA,-Inf
Cognitive and cognitive behavioural therapies individual + placebo:TCAs,Cognitiveandcognitivebehaviouraltherapiesindividual+placebo:TCAs,1,ok,Model + league + compare succeeded,FALSE,127,0.004376299212598431,0.327956,127,0.004376299212598431,0.327956,0,NA,-Inf
Placebo:SSRIs,Placebo:SSRIs,83,ok,Model + league + compare succeeded,FALSE,119,0.00803100840336134,0.27376,119,0.00803100840336134,0.27376,0,NA,-Inf
Placebo:SNRIs,Placebo:SNRIs,33,ok,Model + league + compare succeeded,FALSE,128,0.004901187499999997,0.272761,128,0.004901187499999997,0.272761,0,NA,-Inf
Acupuncture:Waitlist,Acupuncture:Waitlist,1,ok,Model + league + compare succeeded,FALSE,127,0.0017548346456692841,0.21802699999999997,127,0.0017548346456692841,0.21802699999999997,0,NA,-Inf
Sham acupuncture:Waitlist,Shamacupuncture:Waitlist,1,ok,Model + league + compare succeeded,FALSE,127,0.0017548346456692841,0.21802699999999997,127,0.0017548346456692841,0.21802699999999997,0,NA,-Inf
Self-help with support:Short-term psychodynamic psychotherapies individual,Self-helpwithsupport:Short-termpsychodynamicpsychotherapiesindividual,1,ok,Model + league + compare succeeded,FALSE,128,0.002306054687500006,0.213434,128,0.002306054687500006,0.213434,0,NA,-Inf
Placebo:TCAs,Placebo:TCAs,28,ok,Model + league + compare succeeded,FALSE,114,0.005560710526315795,0.204916,114,0.005560710526315795,0.204916,0,NA,-Inf
Cognitive and cognitive behavioural therapies individual:Placebo,Cognitiveandcognitivebehaviouraltherapiesindividual:Placebo,1,ok,Model + league + compare succeeded,FALSE,126,0.0023102063492063513,0.204916,126,0.0023102063492063513,0.204916,0,NA,-Inf
Interpersonal psychotherapy (IPT) individual:Placebo,Interpersonalpsychotherapy(IPT)individual:Placebo,1,ok,Model + league + compare succeeded,FALSE,126,0.0023102063492063513,0.204916,126,0.0023102063492063513,0.204916,0,NA,-Inf
Interpersonal psychotherapy (IPT) individual:TCAs,Interpersonalpsychotherapy(IPT)individual:TCAs,1,ok,Model + league + compare succeeded,FALSE,126,0.0023102063492063513,0.204916,126,0.0023102063492063513,0.204916,0,NA,-Inf
Mirtazapine:TCAs,Mirtazapine:TCAs,6,ok,Model + league + compare succeeded,FALSE,128,0.001604171875000004,0.1765850000000001,128,0.001604171875000004,0.1765850000000001,0,NA,-Inf
Cognitive and cognitive behavioural therapies individual:SSRIs,Cognitiveandcognitivebehaviouraltherapiesindividual:SSRIs,3,ok,Model + league + compare succeeded,FALSE,126,0.0020968412698412755,0.17359800000000003,126,0.0020968412698412755,0.17359800000000003,0,NA,-Inf
Cognitive and cognitive behavioural therapies individual:TAU,Cognitiveandcognitivebehaviouraltherapiesindividual:TAU,3,ok,Model + league + compare succeeded,FALSE,124,0.003230669354838719,0.17359800000000003,124,0.003230669354838719,0.17359800000000003,0,NA,-Inf
Cognitive and cognitive behavioural therapies individual + AD:TAU,Cognitiveandcognitivebehaviouraltherapiesindividual+AD:TAU,1,ok,Model + league + compare succeeded,FALSE,127,0.002162039370078743,0.17359800000000003,127,0.002162039370078743,0.17359800000000003,0,NA,-Inf
SSRIs:TAU,SSRIs:TAU,1,ok,Model + league + compare succeeded,FALSE,127,0.002162039370078743,0.17359800000000003,127,0.002162039370078743,0.17359800000000003,0,NA,-Inf
SNRIs:SSRIs,SNRIs:SSRIs,35,ok,Model + league + compare succeeded,FALSE,128,0.0026209687499999927,0.14232599999999995,128,0.0026209687499999927,0.14232599999999995,0,NA,-Inf
Cognitive and cognitive behavioural therapies individual + AD:Cognitive and cognitive behavioural therapies individual + placebo,Cognitiveandcognitivebehaviouraltherapiesindividual+AD:Cognitiveandcognitivebehaviouraltherapiesindividual+placebo,2,ok,Model + league + compare succeeded,FALSE,126,0.0018082063492063554,0.13412400000000002,126,0.0018082063492063554,0.13412400000000002,0,NA,-Inf
TAU:TCAs,TAU:TCAs,1,ok,Model + league + compare succeeded,FALSE,128,0.0010559531250000022,0.13104899999999997,128,0.0010559531250000022,0.13104899999999997,0,NA,-Inf
Cognitive and cognitive behavioural therapies individual:Self-help,Cognitiveandcognitivebehaviouraltherapiesindividual:Self-help,2,ok,Model + league + compare succeeded,FALSE,126,0.001916277777777787,0.128427,126,0.001916277777777787,0.128427,0,NA,-Inf
Counselling individual:TAU,Counsellingindividual:TAU,1,ok,Model + league + compare succeeded,FALSE,128,0.0020277500000000035,0.12690600000000002,128,0.0020277500000000035,0.12690600000000002,0,NA,-Inf
SNRIs:TCAs,SNRIs:TCAs,7,ok,Model + league + compare succeeded,FALSE,128,0.0018772578125000015,0.10497200000000001,128,0.0018772578125000015,0.10497200000000001,0,NA,-Inf
TCAs:Trazodone,TCAs:Trazodone,2,ok,Model + league + compare succeeded,FALSE,128,8.661328125000023e-4,0.10497200000000001,128,8.661328125000023e-4,0.10497200000000001,0,NA,-Inf
SNRIs:Trazodone,SNRIs:Trazodone,2,ok,Model + league + compare succeeded,FALSE,128,8.223046875000001e-4,0.09223899999999996,128,8.223046875000001e-4,0.09223899999999996,0,NA,-Inf
Cognitive and cognitive behavioural therapies individual:Short-term psychodynamic psychotherapies individual,Cognitiveandcognitivebehaviouraltherapiesindividual:Short-termpsychodynamicpsychotherapiesindividual,2,ok,Model + league + compare succeeded,FALSE,127,6.595984251968503e-4,0.079837,127,6.595984251968503e-4,0.079837,0,NA,-Inf
Cognitive and cognitive behavioural therapies individual + AD:SSRIs,Cognitiveandcognitivebehaviouraltherapiesindividual+AD:SSRIs,2,ok,Model + league + compare succeeded,FALSE,126,8.032777777777837e-4,0.07462000000000002,126,8.032777777777837e-4,0.07462000000000002,0,NA,-Inf
Exercise group:Placebo,Exercisegroup:Placebo,1,ok,Model + league + compare succeeded,FALSE,125,5.812320000000078e-4,0.065091,125,5.812320000000078e-4,0.065091,0,NA,-Inf
Exercise individual:Placebo,Exerciseindividual:Placebo,1,ok,Model + league + compare succeeded,FALSE,125,5.812320000000078e-4,0.065091,125,5.812320000000078e-4,0.065091,0,NA,-Inf
Exercise group:SSRIs,Exercisegroup:SSRIs,1,ok,Model + league + compare succeeded,FALSE,125,5.812320000000078e-4,0.065091,125,5.812320000000078e-4,0.065091,0,NA,-Inf
Exercise group:Exercise individual,Exercisegroup:Exerciseindividual,1,ok,Model + league + compare succeeded,FALSE,125,5.812320000000078e-4,0.065091,125,5.812320000000078e-4,0.065091,0,NA,-Inf
Exercise individual:No treatment,Exerciseindividual:Notreatment,2,ok,Model + league + compare succeeded,FALSE,125,5.038799999999968e-4,0.051862000000000005,125,5.038799999999968e-4,0.051862000000000005,0,NA,-Inf
SSRIs:TCAs,SSRIs:TCAs,37,ok,Model + league + compare succeeded,FALSE,128,0.0012444375000000077,0.03331799999999996,128,0.0012444375000000077,0.03331799999999996,0,NA,-Inf
Mirtazapine:Placebo,Mirtazapine:Placebo,6,ok,Model + league + compare succeeded,FALSE,128,4.139296874999958e-4,0.02812400000000001,128,4.139296874999958e-4,0.02812400000000001,0,NA,-Inf
Behavioural therapies individual + AD:Placebo,Behaviouraltherapiesindividual+AD:Placebo,1,ok,Model + league + compare succeeded,FALSE,120,1.2295000000000245e-4,0.013518999999999948,120,1.2295000000000245e-4,0.013518999999999948,0,NA,-Inf
Placebo:Relaxation individual + AD,Placebo:Relaxationindividual+AD,1,ok,Model + league + compare succeeded,FALSE,120,1.2295000000000245e-4,0.013518999999999948,120,1.2295000000000245e-4,0.013518999999999948,0,NA,-Inf
Placebo:Relaxation individual + placebo,Placebo:Relaxationindividual+placebo,1,ok,Model + league + compare succeeded,FALSE,120,1.2295000000000245e-4,0.013518999999999948,120,1.2295000000000245e-4,0.013518999999999948,0,NA,-Inf
Behavioural therapies individual + AD:Relaxation individual + placebo,Behaviouraltherapiesindividual+AD:Relaxationindividual+placebo,1,ok,Model + league + compare succeeded,FALSE,120,1.2295000000000245e-4,0.013518999999999948,120,1.2295000000000245e-4,0.013518999999999948,0,NA,-Inf
Relaxation individual + AD:Relaxation individual + placebo,Relaxationindividual+AD:Relaxationindividual+placebo,1,ok,Model + league + compare succeeded,FALSE,120,1.2295000000000245e-4,0.013518999999999948,120,1.2295000000000245e-4,0.013518999999999948,0,NA,-Inf
Relaxation individual + placebo:TCAs,Relaxationindividual+placebo:TCAs,1,ok,Model + league + compare succeeded,FALSE,120,1.2295000000000245e-4,0.013518999999999948,120,1.2295000000000245e-4,0.013518999999999948,0,NA,-Inf
Behavioural therapies individual + AD:TCAs,Behaviouraltherapiesindividual+AD:TCAs,1,ok,Model + league + compare succeeded,FALSE,120,1.2295000000000245e-4,0.013518999999999948,120,1.2295000000000245e-4,0.013518999999999948,0,NA,-Inf
Relaxation individual + AD:TCAs,Relaxationindividual+AD:TCAs,1,ok,Model + league + compare succeeded,FALSE,120,1.2295000000000245e-4,0.013518999999999948,120,1.2295000000000245e-4,0.013518999999999948,0,NA,-Inf
Behavioural therapies individual + AD:Relaxation individual + AD,Behaviouraltherapiesindividual+AD:Relaxationindividual+AD,1,ok,Model + league + compare succeeded,FALSE,120,1.2295000000000245e-4,0.013518999999999948,120,1.2295000000000245e-4,0.013518999999999948,0,NA,-Inf
Acupuncture + AD:SSRIs,Acupuncture+AD:SSRIs,6,ok,Model + league + compare succeeded,FALSE,128,2.723124999999973e-4,0.005538000000000043,128,2.723124999999973e-4,0.005538000000000043,0,NA,-Inf
Mirtazapine:SSRIs,Mirtazapine:SSRIs,9,ok,Model + league + compare succeeded,FALSE,128,2.698828125000043e-4,0.005429000000000128,128,2.698828125000043e-4,0.005429000000000128,0,NA,-Inf
Placebo:Problem solving individual,Placebo:Problemsolvingindividual,1,ok,Model + league + compare succeeded,FALSE,127,6.340944881890246e-5,0.004338000000000064,127,6.340944881890246e-5,0.004338000000000064,0,NA,-Inf
Problem solving individual:TCAs,Problemsolvingindividual:TCAs,1,ok,Model + league + compare succeeded,FALSE,127,6.340944881890246e-5,0.004338000000000064,127,6.340944881890246e-5,0.004338000000000064,0,NA,-Inf
Acupuncture:SSRIs,Acupuncture:SSRIs,4,ok,Model + league + compare succeeded,FALSE,128,1.503359374999949e-4,0.003322999999999965,128,1.503359374999949e-4,0.003322999999999965,0,NA,-Inf
Light therapy:Placebo,Lighttherapy:Placebo,1,ok,Model + league + compare succeeded,FALSE,124,4.5927419354842114e-5,0.0028329999999999744,124,4.5927419354842114e-5,0.0028329999999999744,0,NA,-Inf
Light therapy + AD:Placebo,Lighttherapy+AD:Placebo,1,ok,Model + league + compare succeeded,FALSE,124,4.5927419354842114e-5,0.0028329999999999744,124,4.5927419354842114e-5,0.0028329999999999744,0,NA,-Inf
Light therapy:SSRIs,Lighttherapy:SSRIs,1,ok,Model + league + compare succeeded,FALSE,124,4.5927419354842114e-5,0.0028329999999999744,124,4.5927419354842114e-5,0.0028329999999999744,0,NA,-Inf
Light therapy + AD:SSRIs,Lighttherapy+AD:SSRIs,1,ok,Model + league + compare succeeded,FALSE,124,4.5927419354842114e-5,0.0028329999999999744,124,4.5927419354842114e-5,0.0028329999999999744,0,NA,-Inf
Light therapy:Light therapy + AD,Lighttherapy:Lighttherapy+AD,1,ok,Model + league + compare succeeded,FALSE,124,4.5927419354842114e-5,0.0028329999999999744,124,4.5927419354842114e-5,0.0028329999999999744,0,NA,-Inf
Placebo:Trazodone,Placebo:Trazodone,2,ok,Model + league + compare succeeded,FALSE,128,1.3832031250000563e-4,0.0027729999999999144,128,1.3832031250000563e-4,0.0027729999999999144,0,NA,-Inf
SSRIs:Trazodone,SSRIs:Trazodone,6,ok,Model + league + compare succeeded,FALSE,128,1.294687500000039e-4,0.002618999999999927,128,1.294687500000039e-4,0.002618999999999927,0,NA,-Inf
Any AD:Cognitive and cognitive behavioural therapies individual + AD,AnyAD:Cognitiveandcognitivebehaviouraltherapiesindividual+AD,1,ok,Model + league + compare succeeded,FALSE,128,1.1408593749999665e-4,0.0022739999999998872,128,1.1408593749999665e-4,0.0022739999999998872,0,NA,-Inf
Behavioural therapies individual:Cognitive and cognitive behavioural therapies individual,Behaviouraltherapiesindividual:Cognitiveandcognitivebehaviouraltherapiesindividual,2,ok,Model + league + compare succeeded,FALSE,128,9.307031249999705e-5,0.0020000000000000018,128,9.307031249999705e-5,0.0020000000000000018,0,NA,-Inf
Behavioural therapies individual:SSRIs,Behaviouraltherapiesindividual:SSRIs,1,ok,Model + league + compare succeeded,FALSE,128,7.338281249999527e-5,0.0014639999999999098,128,7.338281249999527e-5,0.0014639999999999098,0,NA,-Inf
Mirtazapine:SNRIs,Mirtazapine:SNRIs,3,ok,Model + league + compare succeeded,FALSE,128,5.773437500000499e-5,0.0011630000000000251,128,5.773437500000499e-5,0.0011630000000000251,0,NA,-Inf
Counselling individual:No treatment,Counsellingindividual:Notreatment,1,ok,Model + league + compare succeeded,FALSE,128,5.481249999999462e-5,0.0010939999999999284,128,5.481249999999462e-5,0.0010939999999999284,0,NA,-Inf
Acupuncture:Sham acupuncture,Acupuncture:Shamacupuncture,4,ok,Model + league + compare succeeded,FALSE,126,4.6063492063484715e-5,9.500000000000064e-4,126,4.6063492063484715e-5,9.500000000000064e-4,0,NA,-Inf
Problem solving individual:Waitlist,Problemsolvingindividual:Waitlist,1,ok,Model + league + compare succeeded,FALSE,128,4.414843749999658e-5,8.820000000000494e-4,128,4.414843749999658e-5,8.820000000000494e-4,0,NA,-Inf
Attention placebo:Problem solving individual,Attentionplacebo:Problemsolvingindividual,1,ok,Model + league + compare succeeded,FALSE,128,4.206249999999336e-5,8.399999999999519e-4,128,4.206249999999336e-5,8.399999999999519e-4,0,NA,-Inf
Attention placebo:Self-help,Attentionplacebo:Self-help,1,ok,Model + league + compare succeeded,FALSE,128,4.206249999999336e-5,8.399999999999519e-4,128,4.206249999999336e-5,8.399999999999519e-4,0,NA,-Inf
Exercise group:TAU,Exercisegroup:TAU,1,ok,Model + league + compare succeeded,FALSE,128,3.417187499999574e-5,6.820000000000714e-4,128,3.417187499999574e-5,6.820000000000714e-4,0,NA,-Inf
Any AD:Exercise individual + AD,AnyAD:Exerciseindividual+AD,1,ok,Model + league + compare succeeded,FALSE,128,3.2898437499995225e-5,6.569999999999077e-4,128,3.2898437499995225e-5,6.569999999999077e-4,0,NA,-Inf
Mirtazapine:Trazodone,Mirtazapine:Trazodone,1,ok,Model + league + compare succeeded,FALSE,128,2.9734375000003255e-5,5.939999999999834e-4,128,2.9734375000003255e-5,5.939999999999834e-4,0,NA,-Inf
Cognitive and cognitive behavioural therapies group:SSRIs,Cognitiveandcognitivebehaviouraltherapiesgroup:SSRIs,1,ok,Model + league + compare succeeded,FALSE,128,1.6281250000004113e-5,3.2500000000013074e-4,128,1.6281250000004113e-5,3.2500000000013074e-4,0,NA,-Inf
Acupuncture:TCAs,Acupuncture:TCAs,1,ok,Model + league + compare succeeded,FALSE,128,1.2234375000002749e-5,2.44000000000133e-4,128,1.2234375000002749e-5,2.44000000000133e-4,0,NA,-Inf
Counselling individual:Problem solving individual,Counsellingindividual:Problemsolvingindividual,2,ok,Model + league + compare succeeded,FALSE,128,1.1250000000002848e-5,2.329999999999277e-4,128,1.1250000000002848e-5,2.329999999999277e-4,0,NA,-Inf
Any AD:Cognitive and cognitive behavioural therapies group + AD,AnyAD:Cognitiveandcognitivebehaviouraltherapiesgroup+AD,2,ok,Model + league + compare succeeded,FALSE,128,1.1312500000005134e-5,2.2699999999997722e-4,128,1.1312500000005134e-5,2.2699999999997722e-4,0,NA,-Inf
Short-term psychodynamic psychotherapies individual:SSRIs,Short-termpsychodynamicpsychotherapiesindividual:SSRIs,1,ok,Model + league + compare succeeded,FALSE,128,1.1242187500005714e-5,2.2400000000000198e-4,128,1.1242187500005714e-5,2.2400000000000198e-4,0,NA,-Inf
Interpersonal psychotherapy (IPT) individual + placebo:TCAs,Interpersonalpsychotherapy(IPT)individual+placebo:TCAs,1,ok,Model + league + compare succeeded,FALSE,128,1.0796874999993776e-5,2.1599999999999397e-4,128,1.0796874999993776e-5,2.1599999999999397e-4,0,NA,-Inf
Light therapy + AD:SNRIs,Lighttherapy+AD:SNRIs,1,ok,Model + league + compare succeeded,FALSE,128,1.0703125000004958e-5,2.1300000000001873e-4,128,1.0703125000004958e-5,2.1300000000001873e-4,0,NA,-Inf
Interpersonal psychotherapy (IPT) individual + AD:SNRIs,Interpersonalpsychotherapy(IPT)individual+AD:SNRIs,1,ok,Model + league + compare succeeded,FALSE,128,1.0054687500005719e-5,1.9999999999997797e-4,128,1.0054687500005719e-5,1.9999999999997797e-4,0,NA,-Inf
Exercise group:No treatment,Exercisegroup:Notreatment,1,ok,Model + league + compare succeeded,FALSE,128,9.820312500002232e-6,1.96000000000085e-4,128,9.820312500002232e-6,1.96000000000085e-4,0,NA,-Inf
Problem solving group:Waitlist,Problemsolvinggroup:Waitlist,2,ok,Model + league + compare succeeded,FALSE,128,8.156249999994794e-6,1.7500000000003624e-4,128,8.156249999994794e-6,1.7500000000003624e-4,0,NA,-Inf
No treatment:Self-help with support,Notreatment:Self-helpwithsupport,1,ok,Model + league + compare succeeded,FALSE,128,7.94531250000697e-6,1.580000000001025e-4,128,7.94531250000697e-6,1.580000000001025e-4,0,NA,-Inf
Any AD:Short-term psychodynamic psychotherapies individual + AD,AnyAD:Short-termpsychodynamicpsychotherapiesindividual+AD,1,ok,Model + league + compare succeeded,FALSE,128,5.8437500000035946e-06,1.1600000000000499e-4,128,5.8437500000035946e-06,1.1600000000000499e-4,0,NA,-Inf
Behavioural therapies individual + AD:Counselling individual + AD,Behaviouraltherapiesindividual+AD:Counsellingindividual+AD,1,ok,Model + league + compare succeeded,FALSE,128,5.8437500000035946e-06,1.1600000000000499e-4,128,5.8437500000035946e-06,1.1600000000000499e-4,0,NA,-Inf
Counselling individual + AD:Short-term psychodynamic psychotherapies individual + AD,Counsellingindividual+AD:Short-termpsychodynamicpsychotherapiesindividual+AD,1,ok,Model + league + compare succeeded,FALSE,128,5.8437500000035946e-06,1.1600000000000499e-4,128,5.8437500000035946e-06,1.1600000000000499e-4,0,NA,-Inf
Any psychotherapy:Short-term psychodynamic psychotherapies individual,Anypsychotherapy:Short-termpsychodynamicpsychotherapiesindividual,1,ok,Model + league + compare succeeded,FALSE,128,4.156250000009063e-6,8.300000000005525e-5,128,4.156250000009063e-6,8.300000000005525e-5,0,NA,-Inf
Any psychotherapy:Behavioural therapies individual,Anypsychotherapy:Behaviouraltherapiesindividual,1,ok,Model + league + compare succeeded,FALSE,128,4.156250000009063e-6,8.300000000005525e-5,128,4.156250000009063e-6,8.300000000005525e-5,0,NA,-Inf
Cognitive and cognitive behavioural therapies group:No treatment,Cognitiveandcognitivebehaviouraltherapiesgroup:Notreatment,1,ok,Model + league + compare succeeded,FALSE,128,3.7265625000053803e-6,7.400000000012952e-5,128,3.7265625000053803e-6,7.400000000012952e-5,0,NA,-Inf
Any AD:TAU,AnyAD:TAU,1,ok,Model + league + compare succeeded,FALSE,126,2.9047619047652777e-6,5.699999999997374e-5,126,2.9047619047652777e-6,5.699999999997374e-5,0,NA,-Inf
Cognitive and cognitive behavioural therapies group:TAU,Cognitiveandcognitivebehaviouraltherapiesgroup:TAU,1,ok,Model + league + compare succeeded,FALSE,126,2.9047619047652777e-6,5.699999999997374e-5,126,2.9047619047652777e-6,5.699999999997374e-5,0,NA,-Inf
