studyid,class,n,mean_change,sd_change,source,pooled_sd_study,z_mean_change,z_sd_change,treatment_id
Beasley 1991a,SSRIs,63,-12.2,7.2,change_from_baseline,7.441477892215967,-1.6394592817055338,1,trt_039
Beasley 1991a,Trazodone,57,-13.9,7.7,change_from_baseline,7.441477892215967,-1.8679085258776167,1,trt_047
Beasley 1993b,SSRIs,65,-12.9,9.9,change_from_baseline,10.110929508328503,-1.275847090949858,1,trt_039
Beasley 1993b,TCAs,71,-11.6,10.3,change_from_baseline,10.110929508328503,-1.147273353102198,1,trt_046
Benkert 1996,SNRIs,85,-14.007323334662502,6.2,binary_response_converted,5.959789502078988,-2.3503050451322562,1,trt_038
Benkert 1996,TCAs,82,-14.007323334662498,5.7,binary_response_converted,5.959789502078988,-2.3503050451322554,1,trt_046
Benkert 2000,Mirtazapine,139,-14.0073233346625,3.3,binary_response_converted,3.2509339317450654,-4.308707475683311,1,trt_026
Benkert 2000,SSRIs,136,-14.0073233346625,3.2,binary_response_converted,3.2509339317450654,-4.308707475683311,1,trt_039
Bersani 1994,SSRIs,31,-17,6.02577795807313,baseline_followup,5.803899916201875,-2.9290649813832346,1,trt_039
Bersani 1994,TCAs,30,-16,5.56506963119061,baseline_followup,5.803899916201875,-2.7567670413018677,1,trt_046
Bhargava 2012,SSRIs,30,-11.7,3.0882195517806,baseline_followup,3.6381245168355627,-3.2159427050552543,1,trt_039
Bhargava 2012,TCAs,30,-13.33,4.11519136857571,baseline_followup,3.6381245168355627,-3.663975748580046,1,trt_046
Bielski 2004,SNRIs,98,-13.6,9.600000000000001,change_from_baseline,9.954341360285897,-1.3662380571213801,1,trt_038
Bielski 2004,SSRIs,97,-15.9,10.3,change_from_baseline,9.954341360285897,-1.5972930226639666,1,trt_039
Binnemann 2008,Placebo,31,-10.18,7.57,change_from_baseline,7.589687360971342,-1.3412937207860358,1,trt_031
Binnemann 2008,SSRIs,30,-13.42,7.61,change_from_baseline,7.589687360971342,-1.7681887753387622,1,trt_039
Bjerkenstedt 2005,Placebo,55,-9.7,7,change_from_baseline,7.511984194742164,-1.2912700224781204,1,trt_031
Bjerkenstedt 2005,SSRIs,54,-8.9,8,change_from_baseline,7.511984194742164,-1.184773525778894,1,trt_039
Blackburn 1997,Any AD,38,-17.5,8.577295611088614,baseline_followup,7.775602870517502,-2.2506293455847874,1,trt_003
Blackburn 1997,Cognitive and cognitive behavioural therapies individual,24,-9.5,6.2745517768204,baseline_followup,7.775602870517502,-1.221770216174599,1,trt_010
Blashki 1971,Placebo,18,-7.5,8.31384387633061,baseline_followup,7.599908200179971,-0.9868540253976218,1,trt_031
Blashki 1971,TCAs,27,-23.6,7.094363960215177,baseline_followup,7.599908200179971,-3.105300666584517,1,trt_046
Blom 2007,Any AD,47,-6.4,8.67582849069759,baseline_followup,9.666078252480096,-0.6621092683951638,1,trt_003
Blom 2007,Interpersonal psychotherapy (IPT) individual,50,-9.9,9.7923439482077,baseline_followup,9.666078252480096,-1.024200274548769,1,trt_020
Blom 2007,Interpersonal psychotherapy (IPT) individual + AD,49,-12.8,9.439809320108111,baseline_followup,9.666078252480096,-1.3242185367903276,1,trt_021
Blom 2007,Interpersonal psychotherapy (IPT) individual + placebo,47,-11.099999999999998,10.6531685427388,baseline_followup,9.666078252480096,-1.1483457623728621,1,trt_022
Blumenthal 2007/Hoffman 2011,Exercise group,51,-7.2,6.9,change_from_baseline,6.9518037772635495,-1.0357024206506227,1,trt_016
Blumenthal 2007/Hoffman 2011,Exercise individual,53,-7.099999999999999,6.9,change_from_baseline,6.9518037772635495,-1.0213176648082527,1,trt_018
Blumenthal 2007/Hoffman 2011,Placebo,49,-6.1,7.3,change_from_baseline,6.9518037772635495,-0.8774701063845552,1,trt_031
Blumenthal 2007/Hoffman 2011,SSRIs,49,-6.1,6.7,change_from_baseline,6.9518037772635495,-0.8774701063845552,1,trt_039
Bose 2008,Placebo,134,-10.6,10.42,change_from_baseline,10.32239992588376,-1.0268929780002176,1,trt_031
Bose 2008,SSRIs,129,-12.1,10.22,change_from_baseline,10.32239992588376,-1.1722080220568523,1,trt_039
Boulenger 2014,Placebo,158,-11.7,9.55,change_from_baseline,9.430794018947429,-1.2406166412386384,1,trt_031
Boulenger 2014,SNRIs,146,-21.15,9.3,change_from_baseline,9.430794018947429,-2.242653159162154,1,trt_038
Bowman 1995,Self-help,20,-18.1,7.838367176906172,baseline_followup,7.637945684915173,-2.3697471475539853,1,trt_040
Bowman 1995,Waitlist,10,-0.199999999999999,7.19652694012883,baseline_followup,7.637945684915173,-0.02618505135418755,1,trt_048
Brannan 2005,Placebo,136,-10.27,7.809999999999999,change_from_baseline,7.869326432182145,-1.3050672237969614,1,trt_031
Brannan 2005,SNRIs,132,-10.85,7.93,change_from_baseline,7.869326432182145,-1.378771117643333,1,trt_038
Burke 2002,Placebo,119,-9.4,9.82,change_from_baseline,14.715998969586735,-0.6387605774794355,1,trt_031
Burke 2002,SSRIs,366,-38.7,15.981132625693338,change_from_baseline,14.715998969586735,-2.6297908881334204,1,trt_039
Carman 1991,Placebo,48,-7.5,7.76,change_from_baseline,7.76,-0.9664948453608248,1,trt_031
Carman 1991,TCAs,48,-13.5,7.76,change_from_baseline,7.76,-1.7396907216494846,1,trt_046
Chang 2015,SNRIs,54,-17.2,7.4222638056054,baseline_followup,7.166525720953695,-2.4000472013531104,1,trt_038
Chang 2015,SSRIs,58,-16.3,6.92026011071838,baseline_followup,7.166525720953695,-2.2744633361660296,1,trt_039
Chiu 1996,SSRIs,15,-20.2,9.1,change_from_baseline,8.756997202237763,-2.3067267847063024,1,trt_039
Chiu 1996,TCAs,15,-15.3,8.4,change_from_baseline,8.756997202237763,-1.7471742478221004,1,trt_046
Choi 2012,Self-help with support,25,-12.28,8.92865611388411,baseline_followup,8.291118685473256,-1.4811029085273621,1,trt_041
Choi 2012,Waitlist,30,0.440000000000001,7.72380735130026,baseline_followup,8.291118685473256,0.05306883385602939,1,trt_048
Choi 2014a/Choi 2014b,Attention placebo,36,-5.71,6.74005934691973,baseline_followup,7.972375836009504,-0.7162231331605267,1,trt_005
Choi 2014a/Choi 2014b,Problem solving individual,85,-23.53,8.432858352895535,baseline_followup,7.972375836009504,-2.9514413876124683,1,trt_033
Claghorn 1992a,Placebo,27,-4.59,9.35,change_from_baseline,9.371775562452532,-0.4897684509635042,1,trt_031
Claghorn 1992a,SSRIs,32,-10.72,9.39,change_from_baseline,9.371775562452532,-1.1438600859104064,1,trt_039
Claghorn 1992b,Placebo,27,-5.490000000000001,8.31,change_from_baseline,8.315440088152227,-0.6602176122731146,1,trt_031
Claghorn 1992b,SSRIs,32,-11.44,8.32,change_from_baseline,8.315440088152227,-1.3757540044452512,1,trt_039
Clayton 2006_study 1,Placebo,130,-12.1,7.9799999999999995,change_from_baseline,8.025643383812785,-1.5076672886319538,1,trt_031
Clayton 2006_study 1,SSRIs,133,-14.2,8.07,change_from_baseline,8.025643383812785,-1.7693285536011358,1,trt_039
Clayton 2006_study 2,Placebo,126,-11.9,7.86,change_from_baseline,7.9685512209128255,-1.4933705852036694,1,trt_031
Clayton 2006_study 2,SSRIs,133,-12.9,8.07,change_from_baseline,7.9685512209128255,-1.6188639116913728,1,trt_039
Clerc 1994,SNRIs,33,-22.8,10.7140095202496,baseline_followup,12.056456935856156,-1.8911028440032265,1,trt_038
Clerc 1994,SSRIs,34,-15.7,13.228756555323,baseline_followup,12.056456935856156,-1.302206782932046,1,trt_039
Cohn 1990b,SSRIs,121,-13.3,7.76,change_from_baseline,7.76,-1.713917525773196,1,trt_039
Cohn 1990b,TCAs,64,-14.2,7.76,change_from_baseline,7.76,-1.8298969072164948,1,trt_046
