comparison,treat1,treat2,TE_direct,seTE_direct,lower_direct,upper_direct,statistic_direct,p_direct,n_direct,Q_direct,tau2_direct,tau_direct,I2_direct,TE_indirect,seTE_indirect,lower_indirect,upper_indirect,statistic_indirect,p_indirect,TE_network,seTE_network,lower_network,upper_network,statistic_network,p_network,TE_difference,seTE_difference,lower_diff,upper_diff,statistic_diff,p_inconsistency,z_score,inconsistent
Exercise group:Interpersonal psychotherapy (IPT) individual + AD,Exercise group,Interpersonal psychotherapy (IPT) individual + AD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08842916636170628,0.5150792030086268,-1.0979658534442096,0.921107520720797,-0.1716807159853923,0.8636885471172804,-0.08842916636170628,0.5150792030086268,-1.0979658534442096,0.921107520720797,-0.1716807159853923,0.8636885471172804,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Interpersonal psychotherapy (IPT) individual + placebo,Exercise group,Interpersonal psychotherapy (IPT) individual + placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38439096125177574,0.5552886896155923,-1.4727367939207772,0.7039548714172257,-0.692236251953694,0.48878897611461175,-0.38439096125177574,0.5552886896155923,-1.4727367939207772,0.7039548714172257,-0.692236251953694,0.48878897611461175,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Light therapy,Exercise group,Light therapy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.029247077486836304,0.6433969111946478,-1.2902818511926613,1.2317876962189886,-0.04545728612922753,0.9637428204116126,-0.029247077486836304,0.6433969111946478,-1.2902818511926613,1.2317876962189886,-0.04545728612922753,0.9637428204116126,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Light therapy + AD,Exercise group,Light therapy + AD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3069392365995989,0.5539728012779828,-0.7788275023200115,1.3927059755192093,0.5540691454372996,0.5795315252364404,0.3069392365995989,0.5539728012779828,-0.7788275023200115,1.3927059755192093,0.5540691454372996,0.5795315252364404,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Mindfulness or meditation group,Exercise group,Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3466182578877577,0.9435270090239946,1.4973393017599301,5.195897214015585,3.5469236448775052,3.8975753505531534e-4,3.3466182578877577,0.9435270090239946,1.4973393017599301,5.195897214015585,3.5469236448775052,3.8975753505531534e-4,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Mirtazapine,Exercise group,Mirtazapine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.20385925389686355,0.38385539935231616,-0.9562020118986426,0.5484835041049155,-0.5310834607011852,0.5953609448733532,-0.20385925389686355,0.38385539935231616,-0.9562020118986426,0.5484835041049155,-0.5310834607011852,0.5953609448733532,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Music therapy group,Exercise group,Music therapy group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12225674553858301,0.8051597596095897,-1.7003408761743062,1.4558273850971402,-0.15184159923474508,0.8793118710750685,-0.12225674553858301,0.8051597596095897,-1.7003408761743062,1.4558273850971402,-0.15184159923474508,0.8793118710750685,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:No treatment,Exercise group,No treatment,-0.3677203970227386,0.6564153936457762,-1.654270927466142,0.9188301334206647,-0.5601946581118311,0.5753466702768901,NA,0,NA,NA,NA,-0.9920932552376949,0.4633365825447008,-1.900216269745178,-0.08397024073021164,-2.1411934490235978,0.032258441114931674,-0.7844588739786724,0.37853529806606057,-1.5263744250652853,-0.04254332289205953,-2.072353299643331,0.038232505166016416,0.62437285821495625,0.8034687036464716,-0.9503968636372137,2.199142580067126,0.7770966751801225,0.4371017354347014,0.7770966751801225,no
Exercise group:Peer support group,Exercise group,Peer support group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4578821053685007,0.7494593420024434,-1.011031212833375,1.9267954235703764,0.6109498937528861,0.5412327524154141,0.4578821053685007,0.7494593420024434,-1.011031212833375,1.9267954235703764,0.6109498937528861,0.5412327524154141,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Peer support group + AD,Exercise group,Peer support group + AD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.578820826979042,0.7487300959254182,-0.8886631951759971,2.0463048491340814,0.7730700690796046,0.4394809136092156,0.578820826979042,0.7487300959254182,-0.8886631951759971,2.0463048491340814,0.7730700690796046,0.4394809136092156,NA,NA,NA,NA,NA,NA,NA,no data
