studyid,class,n,mean_change,sd_change,source
E-1569,Mirtazapine,72,-12.2,7.5,change_from_baseline
E-1569,SSRIs,72,-15,6.6,change_from_baseline
Eli Lilly HMAT-A,Placebo,89,-4.78,6.42,change_from_baseline
Eli Lilly HMAT-A,SNRIs,81,-6.31,6.3,change_from_baseline
Eli Lilly HMAT-A,SSRIs,87,-7.4,6.44,change_from_baseline
Elkin 1989/Imber 1990,Cognitive and cognitive behavioural therapies individual,59,-8.9,6.84178339323893,baseline_followup
Elkin 1989/Imber 1990,Interpersonal psychotherapy (IPT) individual,61,-9.8,6.87240860252066,baseline_followup
Elkin 1989/Imber 1990,Placebo,62,-6.3,6.79117073853986,baseline_followup
Elkin 1989/Imber 1990,TCAs,57,-9.7,6.79117073853986,baseline_followup
Emsley 2018,Placebo,106,-9.5,5.97745765355138,baseline_followup
Emsley 2018,SSRIs,98,-13.6,5.71664237118258,baseline_followup
FDA 244 (EMD 68 843-009),Placebo,95,-9.3,7.8,change_from_baseline
FDA 244 (EMD 68 843-009),SSRIs,89,-9.1,7.3999999999999995,change_from_baseline
FDA 245 (EMD 68 843-010),Placebo,99,-10.2,7.96,change_from_baseline
FDA 245 (EMD 68 843-010),SSRIs,92,-11.1,7.67,change_from_baseline
Fabre 1992,Placebo,36,-3.06,8.1,change_from_baseline
Fabre 1992,SSRIs,38,-9.13,8.13702648391905,change_from_baseline
Fabre 1992,TCAs,37,-7.62,8.09007416529663,change_from_baseline
Fabre 1995a,Placebo,86,-7.6000000000000005,7.5,change_from_baseline
Fabre 1995a,SSRIs,261,-29.6,14.846211637990345,change_from_baseline
Fagiolini 2020,SNRIs,152,-14.700000000000001,6.56,change_from_baseline
Fagiolini 2020,Trazodone,165,-12.9,6.82,change_from_baseline
Farabaugh 2015,Cognitive and cognitive behavioural therapies individual,15,-8.8,5.60853813395255,baseline_followup
Farabaugh 2015,SSRIs,11,-5.45,8.02601395463526,baseline_followup
Fava 1998a,Placebo,19,-11.6,8.9,change_from_baseline
Fava 1998a,SSRIs,109,-21.9,13.364505228402585,change_from_baseline
Fava 2005,Placebo,43,-7.3,5.55067563455117,baseline_followup
Fava 2005,SSRIs,47,-6.299999999999999,6.34586479528204,baseline_followup
Fawcett 1989,SSRIs,19,-10.8,5.63471383479232,baseline_followup
Fawcett 1989,TCAs,19,-8.9,6.89420046125727,baseline_followup
Feighner 1982,Placebo,45,-14.0073233346625,4.33796265544091,binary_response_converted
Feighner 1982,TCAs,94,-28.014646669325,6.538339238675215,binary_response_converted
