treat;TE_base;lower_base;upper_base;TE_drop;lower_drop;upper_drop;removed_treatment;component_id;component_reference;delta_TE;abs_delta_TE;pct_shift_vs_base;estimable;ci_overlap
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7543;-2,2563;-1,2522;Acupuncture;1;Placebo;-0,0054;0,0054;0,0031;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6076;-1,1216;-0,0937;Acupuncture;1;Placebo;0,0584;0,0584;0,0877;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;0,2113;-0,8509;1,2735;Acupuncture;1;Placebo;0,0627;0,0627;0,4222;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,7526;-0,2535;1,7586;Acupuncture;1;Placebo;0,1808;0,1808;0,3162;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,3663;-0,3512;1,0838;Acupuncture;1;Placebo;0,0507;0,0507;0,1606;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,7149;-1,7823;0,3524;Acupuncture;1;Placebo;0,0162;0,0162;0,0221;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-0,8416;-1,4319;-0,2513;Acupuncture;1;Placebo;0,1112;0,1112;0,1167;TRUE;TRUE
Cognitive and cognitive behavioural therapies group + AD;-1,3304;-2,3521;-0,3087;-1,2718;-2,2863;-0,2573;Acupuncture;1;Placebo;0,0586;0,0586;0,0440;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,7720;-1,0967;-0,4472;Acupuncture;1;Placebo;0,0821;0,0821;0,0961;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,2975;-1,8338;-0,7613;Acupuncture;1;Placebo;0,0396;0,0396;0,0297;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,2677;-2,1437;-0,3916;Acupuncture;1;Placebo;0,0424;0,0424;0,0324;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,5608;-1,1699;0,0484;Acupuncture;1;Placebo;0,1167;0,1167;0,1723;TRUE;TRUE
Counselling individual + AD;-0,1937;-1,5170;1,1296;-0,1621;-1,4766;1,1524;Acupuncture;1;Placebo;0,0316;0,0316;0,1631;TRUE;TRUE
Counselling individual + placebo;0,1501;-1,6724;1,9726;0,1817;-1,6278;1,9912;Acupuncture;1;Placebo;0,0316;0,0316;0,2105;TRUE;TRUE
Exercise group;-0,8993;-1,6153;-0,1832;-0,8548;-1,5657;-0,1439;Acupuncture;1;Placebo;0,0445;0,0445;0,0495;TRUE;TRUE
Exercise group + AD;-3,4467;-4,6928;-2,2006;-3,4516;-4,6879;-2,2153;Acupuncture;1;Placebo;-0,0049;0,0049;0,0014;TRUE;TRUE
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7186;-1,4132;-0,0241;Acupuncture;1;Placebo;0,0370;0,0370;0,0490;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-1,4041;-2,3143;-0,4939;Acupuncture;1;Placebo;0,0462;0,0462;0,0319;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,5093;-1,1477;0,1291;Acupuncture;1;Placebo;0,0468;0,0468;0,0841;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,7718;-1,5168;-0,0269;Acupuncture;1;Placebo;0,0390;0,0390;0,0481;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,4811;-1,3236;0,3615;Acupuncture;1;Placebo;0,0338;0,0338;0,0657;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8720;-1,9058;0,1618;Acupuncture;1;Placebo;-0,0020;0,0020;0,0023;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,2073;-2,0227;-0,3918;Acupuncture;1;Placebo;-0,0011;0,0011;0,0009;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,1639;-5,9141;-2,4136;Acupuncture;1;Placebo;0,0820;0,0820;0,0193;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,6951;-0,9488;-0,4415;Acupuncture;1;Placebo;0,0002;0,0002;0,0004;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,6950;-2,1558;0,7658;Acupuncture;1;Placebo;0,0820;0,0820;0,1055;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,0328;-0,4997;0,4341;Acupuncture;1;Placebo;0,0820;0,0820;0,7142;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,2987;-2,6034;0,0059;Acupuncture;1;Placebo;0,0584;0,0584;0,0430;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4197;-2,7227;-0,1166;Acupuncture;1;Placebo;0,0584;0,0584;0,0395;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Acupuncture;1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
Problem solving group;-2,9953;-4,1991;-1,7915;-2,6706;-3,8863;-1,4550;Acupuncture;1;Placebo;0,3247;0,3247;0,1084;TRUE;TRUE
Problem solving individual;-0,9765;-1,6284;-0,3247;-0,8302;-1,4836;-0,1768;Acupuncture;1;Placebo;0,1464;0,1464;0,1499;TRUE;TRUE
Psychoeducation group;-1,3504;-2,6595;-0,0412;-1,2684;-2,5681;0,0313;Acupuncture;1;Placebo;0,0820;0,0820;0,0607;TRUE;TRUE
Psychoeducation group + AD;-0,4584;-1,6559;0,7392;-0,4098;-1,5984;0,7788;Acupuncture;1;Placebo;0,0486;0,0486;0,1060;TRUE;TRUE
Relaxation individual + AD;-0,7883;-2,0071;0,4306;-0,7797;-1,9913;0,4319;Acupuncture;1;Placebo;0,0086;0,0086;0,0109;TRUE;TRUE
Relaxation individual + placebo;-0,1558;-1,3582;1,0465;-0,1473;-1,3422;1,0477;Acupuncture;1;Placebo;0,0085;0,0085;0,0549;TRUE;TRUE
Self-help;-0,6497;-1,2124;-0,0870;-0,4332;-1,0091;0,1427;Acupuncture;1;Placebo;0,2165;0,2165;0,3332;TRUE;TRUE
Self-help with support;-0,6290;-1,1818;-0,0762;-0,4522;-1,0127;0,1083;Acupuncture;1;Placebo;0,1767;0,1767;0,2810;TRUE;TRUE
Sham acupuncture;-0,1507;-0,9170;0,6157;0,9969;-0,2981;2,2919;Acupuncture;1;Placebo;1,1476;1,1476;7,6172;TRUE;TRUE
Short-term psychodynamic psychotherapies individual;-0,7098;-1,3789;-0,0406;-0,6345;-1,3000;0,0310;Acupuncture;1;Placebo;0,0753;0,0753;0,1061;TRUE;TRUE
Short-term psychodynamic psychotherapies individual + AD;-0,5020;-1,6798;0,6758;-0,4567;-1,6264;0,7130;Acupuncture;1;Placebo;0,0453;0,0453;0,0903;TRUE;TRUE
SNRIs;-0,7113;-0,8632;-0,5595;-0,7105;-0,8610;-0,5600;Acupuncture;1;Placebo;0,0008;0,0008;0,0012;TRUE;TRUE
SSRIs;-0,5218;-0,6325;-0,4111;-0,5267;-0,6366;-0,4169;Acupuncture;1;Placebo;-0,0049;0,0049;0,0094;TRUE;TRUE
TAU;-0,3454;-0,8923;0,2016;-0,2806;-0,8248;0,2635;Acupuncture;1;Placebo;0,0647;0,0647;0,1874;TRUE;TRUE
TCAs;-0,6273;-0,7817;-0,4729;-0,6179;-0,7715;-0,4644;Acupuncture;1;Placebo;0,0094;0,0094;0,0150;TRUE;TRUE
Trazodone;-0,4002;-0,7486;-0,0517;-0,4013;-0,7467;-0,0558;Acupuncture;1;Placebo;-0,0011;0,0011;0,0027;TRUE;TRUE
Waitlist;0,6737;0,1761;1,1713;0,9969;0,4596;1,5342;Acupuncture;1;Placebo;0,3232;0,3232;0,4797;TRUE;TRUE
Yoga group;-0,8845;-1,8640;0,0951;-0,7175;-1,6962;0,2612;Acupuncture;1;Placebo;0,1670;0,1670;0,1888;TRUE;TRUE
Yoga group + AD;-1,8580;-3,3190;-0,3970;-1,7996;-3,2514;-0,3477;Acupuncture;1;Placebo;0,0584;0,0584;0,0314;TRUE;TRUE
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9135;-1,4326;-0,3944;Acupuncture + AD;1;Placebo;0,0028;0,0028;0,0031;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6699;-1,1798;-0,1599;Acupuncture + AD;1;Placebo;-0,0038;0,0038;0,0057;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;0,1472;-0,9093;1,2037;Acupuncture + AD;1;Placebo;-0,0014;0,0014;0,0092;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,5719;-0,4224;1,5662;Acupuncture + AD;1;Placebo;0,0001;0,0001;0,0002;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,3130;-0,4002;1,0261;Acupuncture + AD;1;Placebo;-0,0027;0,0027;0,0085;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,7317;-1,7948;0,3313;Acupuncture + AD;1;Placebo;-0,0006;0,0006;0,0009;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-0,9506;-1,5339;-0,3674;Acupuncture + AD;1;Placebo;0,0022;0,0022;0,0023;TRUE;TRUE
Cognitive and cognitive behavioural therapies group + AD;-1,3304;-2,3521;-0,3087;-1,3339;-2,3427;-0,3252;Acupuncture + AD;1;Placebo;-0,0035;0,0035;0,0027;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,8537;-1,1726;-0,5347;Acupuncture + AD;1;Placebo;0,0004;0,0004;0,0004;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,3327;-1,8659;-0,7995;Acupuncture + AD;1;Placebo;0,0045;0,0045;0,0033;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,3067;-2,1782;-0,4352;Acupuncture + AD;1;Placebo;0,0034;0,0034;0,0026;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,6781;-1,2793;-0,0769;Acupuncture + AD;1;Placebo;-0,0006;0,0006;0,0009;TRUE;TRUE
Counselling individual + AD;-0,1937;-1,5170;1,1296;-0,1957;-1,5045;1,1130;Acupuncture + AD;1;Placebo;-0,0020;0,0020;0,0106;TRUE;TRUE
Counselling individual + placebo;0,1501;-1,6724;1,9726;0,1480;-1,6531;1,9492;Acupuncture + AD;1;Placebo;-0,0020;0,0020;0,0136;TRUE;TRUE
Exercise group;-0,8993;-1,6153;-0,1832;-0,8981;-1,6049;-0,1913;Acupuncture + AD;1;Placebo;0,0012;0,0012;0,0013;TRUE;TRUE
Exercise group + AD;-3,4467;-4,6928;-2,2006;-3,4465;-4,6767;-2,2163;Acupuncture + AD;1;Placebo;0,0002;0,0002;0,0001;TRUE;TRUE
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7542;-1,4451;-0,0634;Acupuncture + AD;1;Placebo;0,0014;0,0014;0,0019;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-1,4503;-2,3562;-0,5445;Acupuncture + AD;1;Placebo;-0,0001;0,0001;0,0000;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,5576;-1,1919;0,0767;Acupuncture + AD;1;Placebo;-0,0015;0,0015;0,0027;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,8124;-1,5533;-0,0716;Acupuncture + AD;1;Placebo;-0,0016;0,0016;0,0020;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,5172;-1,3553;0,3210;Acupuncture + AD;1;Placebo;-0,0023;0,0023;0,0045;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8697;-1,8983;0,1589;Acupuncture + AD;1;Placebo;0,0003;0,0003;0,0004;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,2054;-2,0169;-0,3940;Acupuncture + AD;1;Placebo;0,0007;0,0007;0,0006;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,2455;-5,9901;-2,5010;Acupuncture + AD;1;Placebo;0,0004;0,0004;0,0001;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,6950;-0,9473;-0,4428;Acupuncture + AD;1;Placebo;0,0004;0,0004;0,0005;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,7766;-2,2306;0,6773;Acupuncture + AD;1;Placebo;0,0004;0,0004;0,0005;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1144;-0,5760;0,3472;Acupuncture + AD;1;Placebo;0,0004;0,0004;0,0031;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,3610;-2,6583;-0,0636;Acupuncture + AD;1;Placebo;-0,0038;0,0038;0,0028;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4819;-2,7776;-0,1862;Acupuncture + AD;1;Placebo;-0,0038;0,0038;0,0026;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Acupuncture + AD;1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
Problem solving group;-2,9953;-4,1991;-1,7915;-2,9962;-4,1891;-1,8032;Acupuncture + AD;1;Placebo;-0,0008;0,0008;0,0003;TRUE;TRUE
Problem solving individual;-0,9765;-1,6284;-0,3247;-0,9761;-1,6194;-0,3329;Acupuncture + AD;1;Placebo;0,0004;0,0004;0,0004;TRUE;TRUE
Psychoeducation group;-1,3504;-2,6595;-0,0412;-1,3500;-2,6420;-0,0580;Acupuncture + AD;1;Placebo;0,0004;0,0004;0,0003;TRUE;TRUE
Psychoeducation group + AD;-0,4584;-1,6559;0,7392;-0,4611;-1,6435;0,7212;Acupuncture + AD;1;Placebo;-0,0028;0,0028;0,0060;TRUE;TRUE
Relaxation individual + AD;-0,7883;-2,0071;0,4306;-0,7882;-1,9952;0,4188;Acupuncture + AD;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Relaxation individual + placebo;-0,1558;-1,3582;1,0465;-0,1558;-1,3461;1,0345;Acupuncture + AD;1;Placebo;0,0001;0,0001;0,0004;TRUE;TRUE
Self-help;-0,6497;-1,2124;-0,0870;-0,6509;-1,2065;-0,0953;Acupuncture + AD;1;Placebo;-0,0012;0,0012;0,0018;TRUE;TRUE
Self-help with support;-0,6290;-1,1818;-0,0762;-0,6300;-1,1759;-0,0841;Acupuncture + AD;1;Placebo;-0,0010;0,0010;0,0016;TRUE;TRUE
Sham acupuncture;-0,1507;-0,9170;0,6157;-0,1496;-0,9065;0,6072;Acupuncture + AD;1;Placebo;0,0010;0,0010;0,0067;TRUE;TRUE
Short-term psychodynamic psychotherapies individual;-0,7098;-1,3789;-0,0406;-0,7106;-1,3709;-0,0504;Acupuncture + AD;1;Placebo;-0,0009;0,0009;0,0012;TRUE;TRUE
Short-term psychodynamic psychotherapies individual + AD;-0,5020;-1,6798;0,6758;-0,5050;-1,6690;0,6589;Acupuncture + AD;1;Placebo;-0,0030;0,0030;0,0060;TRUE;TRUE
SNRIs;-0,7113;-0,8632;-0,5595;-0,7096;-0,8593;-0,5599;Acupuncture + AD;1;Placebo;0,0017;0,0017;0,0024;TRUE;TRUE
SSRIs;-0,5218;-0,6325;-0,4111;-0,5216;-0,6308;-0,4124;Acupuncture + AD;1;Placebo;0,0002;0,0002;0,0004;TRUE;TRUE
TAU;-0,3454;-0,8923;0,2016;-0,3451;-0,8849;0,1947;Acupuncture + AD;1;Placebo;0,0003;0,0003;0,0009;TRUE;TRUE
TCAs;-0,6273;-0,7817;-0,4729;-0,6268;-0,7792;-0,4745;Acupuncture + AD;1;Placebo;0,0005;0,0005;0,0008;TRUE;TRUE
Trazodone;-0,4002;-0,7486;-0,0517;-0,3997;-0,7433;-0,0562;Acupuncture + AD;1;Placebo;0,0004;0,0004;0,0010;TRUE;TRUE
Waitlist;0,6737;0,1761;1,1713;0,6704;0,1788;1,1620;Acupuncture + AD;1;Placebo;-0,0033;0,0033;0,0049;TRUE;TRUE
Yoga group;-0,8845;-1,8640;0,0951;-0,8859;-1,8545;0,0827;Acupuncture + AD;1;Placebo;-0,0014;0,0014;0,0016;TRUE;TRUE
Yoga group + AD;-1,8580;-3,3190;-0,3970;-1,8618;-3,3071;-0,4165;Acupuncture + AD;1;Placebo;-0,0038;0,0038;0,0021;TRUE;TRUE
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9302;-1,4527;-0,4078;Any AD;1;Placebo;-0,0139;0,0139;0,0152;TRUE;TRUE
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7481;-2,2509;-1,2453;Any AD;1;Placebo;0,0007;0,0007;0,0004;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;0,0895;-0,9741;1,1531;Any AD;1;Placebo;-0,0591;0,0591;0,3977;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,5073;-0,4942;1,5088;Any AD;1;Placebo;-0,0645;0,0645;0,1128;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,2586;-0,4602;0,9775;Any AD;1;Placebo;-0,0570;0,0570;0,1806;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,6481;-1,8476;0,5515;Any AD;1;Placebo;0,0830;0,0830;0,1136;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-1,1367;-1,7467;-0,5266;Any AD;1;Placebo;-0,1839;0,1839;0,1930;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,9431;-1,2707;-0,6156;Any AD;1;Placebo;-0,0891;0,0891;0,1044;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,0017;-1,5582;-0,4453;Any AD;1;Placebo;0,3355;0,3355;0,2509;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,1151;-1,9970;-0,2332;Any AD;1;Placebo;0,1950;0,1950;0,1489;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,7480;-1,3553;-0,1407;Any AD;1;Placebo;-0,0705;0,0705;0,1041;TRUE;TRUE
Counselling individual + AD;-0,1937;-1,5170;1,1296;-0,0001;-1,8320;1,8319;Any AD;1;Placebo;0,1936;0,1936;0,9997;TRUE;TRUE
Counselling individual + placebo;0,1501;-1,6724;1,9726;0,3437;-1,8714;2,5588;Any AD;1;Placebo;0,1936;0,1936;1,2901;TRUE;TRUE
Exercise group;-0,8993;-1,6153;-0,1832;-0,9320;-1,6452;-0,2187;Any AD;1;Placebo;-0,0327;0,0327;0,0364;TRUE;TRUE
Exercise group + AD;-3,4467;-4,6928;-2,2006;-3,4456;-4,6836;-2,2075;Any AD;1;Placebo;0,0011;0,0011;0,0003;TRUE;TRUE
Exercise individual;-0,7556;-1,4550;-0,0562;-0,6890;-1,3906;0,0126;Any AD;1;Placebo;0,0666;0,0666;0,0882;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-0,7906;-1,9224;0,3411;Any AD;1;Placebo;0,6596;0,6596;0,4548;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,6243;-1,3055;0,0568;Any AD;1;Placebo;-0,0682;0,0682;0,1227;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,8881;-1,8032;0,0270;Any AD;1;Placebo;-0,0773;0,0773;0,0953;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,4352;-1,3457;0,4752;Any AD;1;Placebo;0,0796;0,0796;0,1547;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8696;-1,9048;0,1657;Any AD;1;Placebo;0,0004;0,0004;0,0005;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,2060;-2,0226;-0,3895;Any AD;1;Placebo;0,0002;0,0002;0,0001;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,2706;-6,0222;-2,5190;Any AD;1;Placebo;-0,0247;0,0247;0,0058;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,6949;-0,9489;-0,4408;Any AD;1;Placebo;0,0005;0,0005;0,0007;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,8017;-2,2641;0,6607;Any AD;1;Placebo;-0,0247;0,0247;0,0318;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1395;-0,6070;0,3279;Any AD;1;Placebo;-0,0247;0,0247;0,2155;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Any AD;1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
Problem solving group;-2,9953;-4,1991;-1,7915;-3,0689;-4,2680;-1,8697;Any AD;1;Placebo;-0,0735;0,0735;0,0246;TRUE;TRUE
Problem solving individual;-0,9765;-1,6284;-0,3247;-1,0290;-1,6775;-0,3806;Any AD;1;Placebo;-0,0525;0,0525;0,0537;TRUE;TRUE
Psychoeducation group;-1,3504;-2,6595;-0,0412;-1,3751;-2,6766;-0,0736;Any AD;1;Placebo;-0,0247;0,0247;0,0183;TRUE;TRUE
Psychoeducation group + AD;-0,4584;-1,6559;0,7392;-0,7626;-2,2877;0,7625;Any AD;1;Placebo;-0,3042;0,3042;0,6637;TRUE;TRUE
Relaxation individual + AD;-0,7883;-2,0071;0,4306;-0,7595;-1,9868;0,4677;Any AD;1;Placebo;0,0287;0,0287;0,0364;TRUE;TRUE
Relaxation individual + placebo;-0,1558;-1,3582;1,0465;-0,1275;-1,3379;1,0828;Any AD;1;Placebo;0,0283;0,0283;0,1815;TRUE;TRUE
Self-help;-0,6497;-1,2124;-0,0870;-0,7273;-1,2886;-0,1660;Any AD;1;Placebo;-0,0776;0,0776;0,1195;TRUE;TRUE
Self-help with support;-0,6290;-1,1818;-0,0762;-0,7074;-1,2590;-0,1558;Any AD;1;Placebo;-0,0784;0,0784;0,1247;TRUE;TRUE
Sham acupuncture;-0,1507;-0,9170;0,6157;-0,1757;-0,9374;0,5860;Any AD;1;Placebo;-0,0251;0,0251;0,1663;TRUE;TRUE
Short-term psychodynamic psychotherapies individual;-0,7098;-1,3789;-0,0406;-0,7716;-1,4376;-0,1056;Any AD;1;Placebo;-0,0618;0,0618;0,0871;TRUE;TRUE
Short-term psychodynamic psychotherapies individual + AD;-0,5020;-1,6798;0,6758;-0,2110;-2,4566;2,0347;Any AD;1;Placebo;0,2911;0,2911;0,5798;TRUE;TRUE
SNRIs;-0,7113;-0,8632;-0,5595;-0,7117;-0,8625;-0,5608;Any AD;1;Placebo;-0,0003;0,0003;0,0005;TRUE;TRUE
SSRIs;-0,5218;-0,6325;-0,4111;-0,5207;-0,6307;-0,4107;Any AD;1;Placebo;0,0011;0,0011;0,0022;TRUE;TRUE
TAU;-0,3454;-0,8923;0,2016;-0,4857;-1,0473;0,0758;Any AD;1;Placebo;-0,1404;0,1404;0,4064;TRUE;TRUE
TCAs;-0,6273;-0,7817;-0,4729;-0,6268;-0,7802;-0,4734;Any AD;1;Placebo;0,0005;0,0005;0,0008;TRUE;TRUE
Trazodone;-0,4002;-0,7486;-0,0517;-0,3996;-0,7455;-0,0536;Any AD;1;Placebo;0,0006;0,0006;0,0015;TRUE;TRUE
Waitlist;0,6737;0,1761;1,1713;0,5989;0,1022;1,0956;Any AD;1;Placebo;-0,0748;0,0748;0,1110;TRUE;TRUE
Yoga group;-0,8845;-1,8640;0,0951;-0,9218;-1,8960;0,0525;Any AD;1;Placebo;-0,0373;0,0373;0,0422;TRUE;TRUE
Peer support group;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Any AD;2;Peer support group;0,0000;0,0000;NA;TRUE;TRUE
Peer support group + AD;-0,1209;-1,3271;1,0852;-0,1209;-0,5570;0,3152;Any AD;2;Peer support group;0,0000;0,0000;0,0000;TRUE;TRUE
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9175;-1,4433;-0,3918;Any psychotherapy;1;Placebo;-0,0012;0,0012;0,0014;TRUE;TRUE
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7487;-2,2551;-1,2424;Any psychotherapy;1;Placebo;0,0001;0,0001;0,0001;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6672;-1,1837;-0,1506;Any psychotherapy;1;Placebo;-0,0011;0,0011;0,0017;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,5682;-0,4392;1,5755;Any psychotherapy;1;Placebo;-0,0036;0,0036;0,0063;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,4547;-0,3124;1,2217;Any psychotherapy;1;Placebo;0,1390;0,1390;0,4405;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,7314;-1,8057;0,3430;Any psychotherapy;1;Placebo;-0,0003;0,0003;0,0004;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-0,9560;-1,5465;-0,3654;Any psychotherapy;1;Placebo;-0,0032;0,0032;0,0033;TRUE;TRUE
Cognitive and cognitive behavioural therapies group + AD;-1,3304;-2,3521;-0,3087;-1,3315;-2,3534;-0,3096;Any psychotherapy;1;Placebo;-0,0011;0,0011;0,0008;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,8553;-1,1783;-0,5323;Any psychotherapy;1;Placebo;-0,0012;0,0012;0,0015;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,3379;-1,8778;-0,7979;Any psychotherapy;1;Placebo;-0,0007;0,0007;0,0005;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,3108;-2,1932;-0,4283;Any psychotherapy;1;Placebo;-0,0007;0,0007;0,0005;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,6799;-1,2896;-0,0702;Any psychotherapy;1;Placebo;-0,0024;0,0024;0,0036;TRUE;TRUE
Counselling individual + AD;-0,1937;-1,5170;1,1296;-0,1943;-1,5178;1,1292;Any psychotherapy;1;Placebo;-0,0006;0,0006;0,0030;TRUE;TRUE
Counselling individual + placebo;0,1501;-1,6724;1,9726;0,1495;-1,6733;1,9723;Any psychotherapy;1;Placebo;-0,0006;0,0006;0,0039;TRUE;TRUE
Exercise group;-0,8993;-1,6153;-0,1832;-0,9005;-1,6167;-0,1844;Any psychotherapy;1;Placebo;-0,0013;0,0013;0,0014;TRUE;TRUE
Exercise group + AD;-3,4467;-4,6928;-2,2006;-3,4466;-4,6929;-2,2003;Any psychotherapy;1;Placebo;0,0001;0,0001;0,0000;TRUE;TRUE
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7568;-1,4563;-0,0573;Any psychotherapy;1;Placebo;-0,0012;0,0012;0,0016;TRUE;TRUE
