treat;TE_base;lower_base;upper_base;TE_drop;lower_drop;upper_drop;removed_study;component_id;component_reference;delta_TE;abs_delta_TE;pct_shift_vs_base;estimable;ci_overlap
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7446;-1,4350;-0,0542;Burke 2002;1;Placebo;0,0110;0,0110;0,0146;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-1,4398;-2,3451;-0,5345;Burke 2002;1;Placebo;0,0105;0,0105;0,0072;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,5496;-1,1834;0,0842;Burke 2002;1;Placebo;0,0065;0,0065;0,0116;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,8040;-1,5443;-0,0637;Burke 2002;1;Placebo;0,0068;0,0068;0,0084;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,5088;-1,3463;0,3288;Burke 2002;1;Placebo;0,0061;0,0061;0,0119;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8627;-1,8905;0,1651;Burke 2002;1;Placebo;0,0073;0,0073;0,0084;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,1983;-2,0091;-0,3874;Burke 2002;1;Placebo;0,0079;0,0079;0,0066;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,2351;-5,9789;-2,4913;Burke 2002;1;Placebo;0,0108;0,0108;0,0025;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,6864;-0,9385;-0,4343;Burke 2002;1;Placebo;0,0090;0,0090;0,0129;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,7662;-2,2193;0,6868;Burke 2002;1;Placebo;0,0108;0,0108;0,0139;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1040;-0,5653;0,3573;Burke 2002;1;Placebo;0,0108;0,0108;0,0938;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,3519;-2,6482;-0,0556;Burke 2002;1;Placebo;0,0053;0,0053;0,0039;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4728;-2,7675;-0,1782;Burke 2002;1;Placebo;0,0053;0,0053;0,0036;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Burke 2002;1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
Problem solving group;-2,9953;-4,1991;-1,7915;-2,9862;-4,1785;-1,7939;Burke 2002;1;Placebo;0,0091;0,0091;0,0030;TRUE;TRUE
Problem solving individual;-0,9765;-1,6284;-0,3247;-0,9679;-1,6106;-0,3251;Burke 2002;1;Placebo;0,0087;0,0087;0,0089;TRUE;TRUE
Psychoeducation group;-1,3504;-2,6595;-0,0412;-1,3396;-2,6306;-0,0486;Burke 2002;1;Placebo;0,0108;0,0108;0,0080;TRUE;TRUE
Psychoeducation group + AD;-0,4584;-1,6559;0,7392;-0,4524;-1,6338;0,7290;Burke 2002;1;Placebo;0,0060;0,0060;0,0130;TRUE;TRUE
Relaxation individual + AD;-0,7883;-2,0071;0,4306;-0,7838;-1,9901;0,4225;Burke 2002;1;Placebo;0,0045;0,0045;0,0057;TRUE;TRUE
Relaxation individual + placebo;-0,1558;-1,3582;1,0465;-0,1513;-1,3409;1,0382;Burke 2002;1;Placebo;0,0045;0,0045;0,0289;TRUE;TRUE
Self-help;-0,6497;-1,2124;-0,0870;-0,6411;-1,1963;-0,0859;Burke 2002;1;Placebo;0,0086;0,0086;0,0133;TRUE;TRUE
Self-help with support;-0,6290;-1,1818;-0,0762;-0,6199;-1,1655;-0,0744;Burke 2002;1;Placebo;0,0090;0,0090;0,0144;TRUE;TRUE
Sham acupuncture;-0,1507;-0,9170;0,6157;-0,1379;-0,8942;0,6184;Burke 2002;1;Placebo;0,0128;0,0128;0,0849;TRUE;TRUE
Short-term psychodynamic psychotherapies individual;-0,7098;-1,3789;-0,0406;-0,6997;-1,3594;-0,0400;Burke 2002;1;Placebo;0,0101;0,0101;0,0142;TRUE;TRUE
Short-term psychodynamic psychotherapies individual + AD;-0,5020;-1,6798;0,6758;-0,4972;-1,6603;0,6660;Burke 2002;1;Placebo;0,0048;0,0048;0,0097;TRUE;TRUE
SNRIs;-0,7113;-0,8632;-0,5595;-0,7021;-0,8518;-0,5524;Burke 2002;1;Placebo;0,0092;0,0092;0,0130;TRUE;TRUE
SSRIs;-0,5218;-0,6325;-0,4111;-0,5078;-0,6174;-0,3982;Burke 2002;1;Placebo;0,0140;0,0140;0,0268;TRUE;TRUE
TAU;-0,3454;-0,8923;0,2016;-0,3352;-0,8746;0,2043;Burke 2002;1;Placebo;0,0102;0,0102;0,0295;TRUE;TRUE
TCAs;-0,6273;-0,7817;-0,4729;-0,6184;-0,7707;-0,4661;Burke 2002;1;Placebo;0,0089;0,0089;0,0142;TRUE;TRUE
Trazodone;-0,4002;-0,7486;-0,0517;-0,3904;-0,7336;-0,0471;Burke 2002;1;Placebo;0,0098;0,0098;0,0245;TRUE;TRUE
Waitlist;0,6737;0,1761;1,1713;0,6802;0,1889;1,1715;Burke 2002;1;Placebo;0,0065;0,0065;0,0096;TRUE;TRUE
Yoga group;-0,8845;-1,8640;0,0951;-0,8768;-1,8447;0,0912;Burke 2002;1;Placebo;0,0077;0,0077;0,0087;TRUE;TRUE
Yoga group + AD;-1,8580;-3,3190;-0,3970;-1,8527;-3,2971;-0,4084;Burke 2002;1;Placebo;0,0053;0,0053;0,0028;TRUE;TRUE
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9153;-1,4415;-0,3891;Carman 1991;1;Placebo;0,0010;0,0010;0,0011;TRUE;TRUE
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7480;-2,2547;-1,2413;Carman 1991;1;Placebo;0,0008;0,0008;0,0005;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6645;-1,1815;-0,1475;Carman 1991;1;Placebo;0,0016;0,0016;0,0024;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;0,1498;-0,9203;1,2200;Carman 1991;1;Placebo;0,0013;0,0013;0,0085;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,5731;-0,4350;1,5811;Carman 1991;1;Placebo;0,0013;0,0013;0,0023;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,3170;-0,4060;1,0399;Carman 1991;1;Placebo;0,0013;0,0013;0,0042;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,7298;-1,8048;0,3451;Carman 1991;1;Placebo;0,0013;0,0013;0,0017;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-0,9517;-1,5427;-0,3608;Carman 1991;1;Placebo;0,0011;0,0011;0,0011;TRUE;TRUE
Cognitive and cognitive behavioural therapies group + AD;-1,3304;-2,3521;-0,3087;-1,3288;-2,3515;-0,3062;Carman 1991;1;Placebo;0,0016;0,0016;0,0012;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,8527;-1,1761;-0,5293;Carman 1991;1;Placebo;0,0014;0,0014;0,0016;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,3360;-1,8765;-0,7956;Carman 1991;1;Placebo;0,0012;0,0012;0,0009;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,3087;-2,1918;-0,4256;Carman 1991;1;Placebo;0,0014;0,0014;0,0011;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,6762;-1,2864;-0,0659;Carman 1991;1;Placebo;0,0013;0,0013;0,0020;TRUE;TRUE
Counselling individual + AD;-0,1937;-1,5170;1,1296;-0,1923;-1,5166;1,1320;Carman 1991;1;Placebo;0,0014;0,0014;0,0072;TRUE;TRUE
Counselling individual + placebo;0,1501;-1,6724;1,9726;0,1515;-1,6724;1,9754;Carman 1991;1;Placebo;0,0014;0,0014;0,0093;TRUE;TRUE
Exercise group;-0,8993;-1,6153;-0,1832;-0,8984;-1,6151;-0,1818;Carman 1991;1;Placebo;0,0008;0,0008;0,0009;TRUE;TRUE
Exercise group + AD;-3,4467;-4,6928;-2,2006;-3,4459;-4,6931;-2,1988;Carman 1991;1;Placebo;0,0008;0,0008;0,0002;TRUE;TRUE
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7549;-1,4549;-0,0549;Carman 1991;1;Placebo;0,0007;0,0007;0,0010;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-1,4492;-2,3657;-0,5327;Carman 1991;1;Placebo;0,0011;0,0011;0,0007;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,5546;-1,1983;0,0890;Carman 1991;1;Placebo;0,0014;0,0014;0,0026;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,8095;-1,5605;-0,0585;Carman 1991;1;Placebo;0,0013;0,0013;0,0016;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,5130;-1,3627;0,3367;Carman 1991;1;Placebo;0,0019;0,0019;0,0036;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8696;-1,9126;0,1734;Carman 1991;1;Placebo;0,0004;0,0004;0,0005;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,2057;-2,0283;-0,3832;Carman 1991;1;Placebo;0,0004;0,0004;0,0004;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,2448;-6,0029;-2,4866;Carman 1991;1;Placebo;0,0011;0,0011;0,0003;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,6944;-0,9507;-0,4382;Carman 1991;1;Placebo;0,0010;0,0010;0,0014;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,7759;-2,2461;0,6943;Carman 1991;1;Placebo;0,0011;0,0011;0,0014;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1137;-0,5817;0,3543;Carman 1991;1;Placebo;0,0011;0,0011;0,0097;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,3556;-2,6716;-0,0396;Carman 1991;1;Placebo;0,0016;0,0016;0,0012;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4765;-2,7909;-0,1621;Carman 1991;1;Placebo;0,0016;0,0016;0,0011;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Carman 1991;1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
Problem solving group;-2,9953;-4,1991;-1,7915;-2,9939;-4,1985;-1,7894;Carman 1991;1;Placebo;0,0014;0,0014;0,0005;TRUE;TRUE
Problem solving individual;-0,9765;-1,6284;-0,3247;-0,9753;-1,6278;-0,3228;Carman 1991;1;Placebo;0,0013;0,0013;0,0013;TRUE;TRUE
Psychoeducation group;-1,3504;-2,6595;-0,0412;-1,3492;-2,6595;-0,0389;Carman 1991;1;Placebo;0,0011;0,0011;0,0008;TRUE;TRUE
Psychoeducation group + AD;-0,4584;-1,6559;0,7392;-0,4569;-1,6556;0,7417;Carman 1991;1;Placebo;0,0014;0,0014;0,0032;TRUE;TRUE
Relaxation individual + AD;-0,7883;-2,0071;0,4306;-0,7871;-2,0068;0,4326;Carman 1991;1;Placebo;0,0012;0,0012;0,0015;TRUE;TRUE
Relaxation individual + placebo;-0,1558;-1,3582;1,0465;-0,1546;-1,3578;1,0485;Carman 1991;1;Placebo;0,0012;0,0012;0,0077;TRUE;TRUE
Self-help;-0,6497;-1,2124;-0,0870;-0,6483;-1,2116;-0,0851;Carman 1991;1;Placebo;0,0014;0,0014;0,0021;TRUE;TRUE
Self-help with support;-0,6290;-1,1818;-0,0762;-0,6276;-1,1810;-0,0743;Carman 1991;1;Placebo;0,0014;0,0014;0,0022;TRUE;TRUE
Sham acupuncture;-0,1507;-0,9170;0,6157;-0,1495;-0,9166;0,6175;Carman 1991;1;Placebo;0,0011;0,0011;0,0075;TRUE;TRUE
Short-term psychodynamic psychotherapies individual;-0,7098;-1,3789;-0,0406;-0,7085;-1,3783;-0,0387;Carman 1991;1;Placebo;0,0012;0,0012;0,0018;TRUE;TRUE
Short-term psychodynamic psychotherapies individual + AD;-0,5020;-1,6798;0,6758;-0,5005;-1,6793;0,6782;Carman 1991;1;Placebo;0,0015;0,0015;0,0030;TRUE;TRUE
SNRIs;-0,7113;-0,8632;-0,5595;-0,7108;-0,8629;-0,5587;Carman 1991;1;Placebo;0,0005;0,0005;0,0007;TRUE;TRUE
SSRIs;-0,5218;-0,6325;-0,4111;-0,5211;-0,6321;-0,4100;Carman 1991;1;Placebo;0,0008;0,0008;0,0015;TRUE;TRUE
TAU;-0,3454;-0,8923;0,2016;-0,3440;-0,8915;0,2035;Carman 1991;1;Placebo;0,0013;0,0013;0,0038;TRUE;TRUE
TCAs;-0,6273;-0,7817;-0,4729;-0,6249;-0,7808;-0,4691;Carman 1991;1;Placebo;0,0024;0,0024;0,0039;TRUE;TRUE
Trazodone;-0,4002;-0,7486;-0,0517;-0,3994;-0,7482;-0,0505;Carman 1991;1;Placebo;0,0008;0,0008;0,0020;TRUE;TRUE
Waitlist;0,6737;0,1761;1,1713;0,6753;0,1771;1,1734;Carman 1991;1;Placebo;0,0015;0,0015;0,0023;TRUE;TRUE
Yoga group;-0,8845;-1,8640;0,0951;-0,8825;-1,8629;0,0979;Carman 1991;1;Placebo;0,0020;0,0020;0,0022;TRUE;TRUE
Yoga group + AD;-1,8580;-3,3190;-0,3970;-1,8564;-3,3185;-0,3944;Carman 1991;1;Placebo;0,0016;0,0016;0,0008;TRUE;TRUE
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9163;-1,4426;-0,3901;Chang 2015;1;Placebo;0,0000;0,0000;0,0001;TRUE;TRUE
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7485;-2,2554;-1,2416;Chang 2015;1;Placebo;0,0003;0,0003;0,0002;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6657;-1,1827;-0,1487;Chang 2015;1;Placebo;0,0004;0,0004;0,0006;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;0,1488;-0,9216;1,2192;Chang 2015;1;Placebo;0,0003;0,0003;0,0018;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,5719;-0,4364;1,5801;Chang 2015;1;Placebo;0,0001;0,0001;0,0002;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,3160;-0,4071;1,0391;Chang 2015;1;Placebo;0,0004;0,0004;0,0012;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,7310;-1,8062;0,3442;Chang 2015;1;Placebo;0,0001;0,0001;0,0001;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-0,9529;-1,5439;-0,3618;Chang 2015;1;Placebo;-0,0001;0,0001;0,0001;TRUE;TRUE
Cognitive and cognitive behavioural therapies group + AD;-1,3304;-2,3521;-0,3087;-1,3300;-2,3529;-0,3072;Chang 2015;1;Placebo;0,0003;0,0003;0,0003;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,8540;-1,1773;-0,5307;Chang 2015;1;Placebo;0,0001;0,0001;0,0001;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,3374;-1,8779;-0,7970;Chang 2015;1;Placebo;-0,0003;0,0003;0,0002;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,3103;-2,1935;-0,4270;Chang 2015;1;Placebo;-0,0002;0,0002;0,0001;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,6773;-1,2877;-0,0670;Chang 2015;1;Placebo;0,0002;0,0002;0,0002;TRUE;TRUE
Counselling individual + AD;-0,1937;-1,5170;1,1296;-0,1935;-1,5180;1,1311;Chang 2015;1;Placebo;0,0002;0,0002;0,0011;TRUE;TRUE
Counselling individual + placebo;0,1501;-1,6724;1,9726;0,1503;-1,6741;1,9747;Chang 2015;1;Placebo;0,0002;0,0002;0,0014;TRUE;TRUE
Exercise group;-0,8993;-1,6153;-0,1832;-0,8992;-1,6161;-0,1824;Chang 2015;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Exercise group + AD;-3,4467;-4,6928;-2,2006;-3,4464;-4,6939;-2,1989;Chang 2015;1;Placebo;0,0002;0,0002;0,0001;TRUE;TRUE
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7556;-1,4558;-0,0554;Chang 2015;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-1,4501;-2,3668;-0,5335;Chang 2015;1;Placebo;0,0001;0,0001;0,0001;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,5559;-1,1997;0,0878;Chang 2015;1;Placebo;0,0002;0,0002;0,0003;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,8108;-1,5620;-0,0597;Chang 2015;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,5147;-1,3645;0,3352;Chang 2015;1;Placebo;0,0002;0,0002;0,0004;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8700;-1,9133;0,1733;Chang 2015;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,2065;-2,0292;-0,3838;Chang 2015;1;Placebo;-0,0003;0,0003;0,0003;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,2458;-6,0042;-2,4874;Chang 2015;1;Placebo;0,0001;0,0001;0,0000;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,6954;-0,9516;-0,4392;Chang 2015;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,7769;-2,2474;0,6936;Chang 2015;1;Placebo;0,0001;0,0001;0,0001;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1147;-0,5828;0,3534;Chang 2015;1;Placebo;0,0001;0,0001;0,0009;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,3568;-2,6731;-0,0404;Chang 2015;1;Placebo;0,0004;0,0004;0,0003;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4777;-2,7925;-0,1629;Chang 2015;1;Placebo;0,0004;0,0004;0,0003;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Chang 2015;1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
Problem solving group;-2,9953;-4,1991;-1,7915;-2,9951;-4,1999;-1,7904;Chang 2015;1;Placebo;0,0002;0,0002;0,0001;TRUE;TRUE
Problem solving individual;-0,9765;-1,6284;-0,3247;-0,9765;-1,6291;-0,3239;Chang 2015;1;Placebo;0,0000;0,0000;0,0001;TRUE;TRUE
Psychoeducation group;-1,3504;-2,6595;-0,0412;-1,3503;-2,6609;-0,0396;Chang 2015;1;Placebo;0,0001;0,0001;0,0001;TRUE;TRUE
Psychoeducation group + AD;-0,4584;-1,6559;0,7392;-0,4582;-1,6571;0,7407;Chang 2015;1;Placebo;0,0002;0,0002;0,0004;TRUE;TRUE
Relaxation individual + AD;-0,7883;-2,0071;0,4306;-0,7882;-2,0082;0,4317;Chang 2015;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Relaxation individual + placebo;-0,1558;-1,3582;1,0465;-0,1558;-1,3592;1,0476;Chang 2015;1;Placebo;0,0000;0,0000;0,0002;TRUE;TRUE
Self-help;-0,6497;-1,2124;-0,0870;-0,6495;-1,2128;-0,0862;Chang 2015;1;Placebo;0,0002;0,0002;0,0003;TRUE;TRUE
Self-help with support;-0,6290;-1,1818;-0,0762;-0,6288;-1,1822;-0,0754;Chang 2015;1;Placebo;0,0002;0,0002;0,0003;TRUE;TRUE
Sham acupuncture;-0,1507;-0,9170;0,6157;-0,1506;-0,9178;0,6167;Chang 2015;1;Placebo;0,0001;0,0001;0,0006;TRUE;TRUE
Short-term psychodynamic psychotherapies individual;-0,7098;-1,3789;-0,0406;-0,7096;-1,3795;-0,0396;Chang 2015;1;Placebo;0,0002;0,0002;0,0003;TRUE;TRUE
Short-term psychodynamic psychotherapies individual + AD;-0,5020;-1,6798;0,6758;-0,5017;-1,6807;0,6773;Chang 2015;1;Placebo;0,0003;0,0003;0,0006;TRUE;TRUE
SNRIs;-0,7113;-0,8632;-0,5595;-0,7122;-0,8649;-0,5595;Chang 2015;1;Placebo;-0,0009;0,0009;0,0013;TRUE;TRUE
SSRIs;-0,5218;-0,6325;-0,4111;-0,5216;-0,6325;-0,4106;Chang 2015;1;Placebo;0,0002;0,0002;0,0005;TRUE;TRUE
TAU;-0,3454;-0,8923;0,2016;-0,3453;-0,8928;0,2023;Chang 2015;1;Placebo;0,0001;0,0001;0,0002;TRUE;TRUE
TCAs;-0,6273;-0,7817;-0,4729;-0,6273;-0,7819;-0,4727;Chang 2015;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Trazodone;-0,4002;-0,7486;-0,0517;-0,4002;-0,7490;-0,0513;Chang 2015;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Waitlist;0,6737;0,1761;1,1713;0,6741;0,1760;1,1723;Chang 2015;1;Placebo;0,0004;0,0004;0,0006;TRUE;TRUE
Yoga group;-0,8845;-1,8640;0,0951;-0,8842;-1,8648;0,0963;Chang 2015;1;Placebo;0,0002;0,0002;0,0002;TRUE;TRUE
Yoga group + AD;-1,8580;-3,3190;-0,3970;-1,8576;-3,3200;-0,3953;Chang 2015;1;Placebo;0,0004;0,0004;0,0002;TRUE;TRUE
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9165;-1,4422;-0,3908;Chiu 1996;1;Placebo;-0,0002;0,0002;0,0002;TRUE;TRUE
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7470;-2,2533;-1,2407;Chiu 1996;1;Placebo;0,0018;0,0018;0,0010;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6677;-1,1842;-0,1512;Chiu 1996;1;Placebo;-0,0017;0,0017;0,0025;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;0,1481;-0,9213;1,2174;Chiu 1996;1;Placebo;-0,0005;0,0005;0,0035;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,5701;-0,4372;1,5773;Chiu 1996;1;Placebo;-0,0017;0,0017;0,0030;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,3152;-0,4071;1,0376;Chiu 1996;1;Placebo;-0,0004;0,0004;0,0012;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,7338;-1,8081;0,3405;Chiu 1996;1;Placebo;-0,0027;0,0027;0,0037;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-0,9536;-1,5441;-0,3632;Chiu 1996;1;Placebo;-0,0008;0,0008;0,0009;TRUE;TRUE
Cognitive and cognitive behavioural therapies group + AD;-1,3304;-2,3521;-0,3087;-1,3321;-2,3539;-0,3103;Chiu 1996;1;Placebo;-0,0017;0,0017;0,0012;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,8557;-1,1787;-0,5328;Chiu 1996;1;Placebo;-0,0017;0,0017;0,0020;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,3390;-1,8790;-0,7991;Chiu 1996;1;Placebo;-0,0018;0,0018;0,0014;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,3127;-2,1951;-0,4303;Chiu 1996;1;Placebo;-0,0026;0,0026;0,0020;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,6790;-1,2887;-0,0694;Chiu 1996;1;Placebo;-0,0015;0,0015;0,0023;TRUE;TRUE
Counselling individual + AD;-0,1937;-1,5170;1,1296;-0,1960;-1,5194;1,1274;Chiu 1996;1;Placebo;-0,0023;0,0023;0,0119;TRUE;TRUE
Counselling individual + placebo;0,1501;-1,6724;1,9726;0,1478;-1,6749;1,9704;Chiu 1996;1;Placebo;-0,0023;0,0023;0,0154;TRUE;TRUE
Exercise group;-0,8993;-1,6153;-0,1832;-0,8995;-1,6156;-0,1835;Chiu 1996;1;Placebo;-0,0003;0,0003;0,0003;TRUE;TRUE
Exercise group + AD;-3,4467;-4,6928;-2,2006;-3,4449;-4,6911;-2,1987;Chiu 1996;1;Placebo;0,0018;0,0018;0,0005;TRUE;TRUE
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7554;-1,4549;-0,0560;Chiu 1996;1;Placebo;0,0002;0,0002;0,0002;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-1,4506;-2,3665;-0,5348;Chiu 1996;1;Placebo;-0,0003;0,0003;0,0002;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,5583;-1,2013;0,0848;Chiu 1996;1;Placebo;-0,0022;0,0022;0,0039;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,8124;-1,5628;-0,0620;Chiu 1996;1;Placebo;-0,0016;0,0016;0,0019;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,5182;-1,3672;0,3308;Chiu 1996;1;Placebo;-0,0033;0,0033;0,0065;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8692;-1,9114;0,1730;Chiu 1996;1;Placebo;0,0008;0,0008;0,0009;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,2056;-2,0275;-0,3837;Chiu 1996;1;Placebo;0,0006;0,0006;0,0005;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,2465;-6,0039;-2,4892;Chiu 1996;1;Placebo;-0,0007;0,0007;0,0002;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,6961;-0,9520;-0,4402;Chiu 1996;1;Placebo;-0,0007;0,0007;0,0010;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,7776;-2,2469;0,6916;Chiu 1996;1;Placebo;-0,0007;0,0007;0,0008;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1154;-0,5830;0,3521;Chiu 1996;1;Placebo;-0,0007;0,0007;0,0057;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,3588;-2,6737;-0,0439;Chiu 1996;1;Placebo;-0,0017;0,0017;0,0012;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4797;-2,7931;-0,1664;Chiu 1996;1;Placebo;-0,0017;0,0017;0,0011;TRUE;TRUE
