removed_study;component_id;component_reference;model_fit;reason;n_removed_studies;n_remaining_studies;frac_remaining_studies;n_estimable_treatments;max_abs_delta;median_abs_delta;p90_abs_delta
Komulainen 2018;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0042;0,0028;0,0034
Mowla 2016;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0042;0,0005;0,0010
Miller 1989a;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0042;0,0028;0,0034
Fawcett 1989;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0040;0,0010;0,0018
Ropert 1989;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0040;0,0009;0,0019
Fagiolini 2020;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0040;0,0002;0,0008
Study 62b (FDA);1;Placebo;TRUE;ok;1;310;0,9968;50;0,0040;0,0028;0,0033
Kheirabadi 2020;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0040;0,0018;0,0026
Diaz-Martinez 1998;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0039;0,0005;0,0010
Detke 2002b;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0039;0,0012;0,0017
M/2020/0046 (Study 046);1;Placebo;TRUE;ok;1;310;0,9968;50;0,0039;0,0025;0,0035
Hieronymus 2016_PZ/109;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0038;0,0025;0,0032
FDA 245 (EMD 68 843-010);1;Placebo;TRUE;ok;1;310;0,9968;50;0,0038;0,0025;0,0032
Clayton 2006_study 2;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0037;0,0025;0,0033
Bhargava 2012;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0037;0,0010;0,0017
MIR 003-020 (FDA);1;Placebo;TRUE;ok;1;310;0,9968;50;0,0037;0,0016;0,0021
Tollefson 1993/1995;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0037;0,0018;0,0029
Baune 2018;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0036;0,0026;0,0030
DeNayer 2002;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0036;0,0005;0,0011
Macias-Cortes 2015;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0036;0,0025;0,0030
SER 315 (FDA);1;Placebo;TRUE;ok;1;310;0,9968;50;0,0035;0,0022;0,0031
Bose 2008;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0035;0,0023;0,0031
Kasper 2005b;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0035;0,0001;0,0003
Mathews 2015;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0035;0,0018;0,0028
WELL AK1A4006;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0034;0,0022;0,0030
Kranzler 2006_Group A;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0033;0,0022;0,0029
M/2020/0046 (Study 047);1;Placebo;TRUE;ok;1;310;0,9968;50;0,0033;0,0018;0,0027
McKnight 1992;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0032;0,0014;0,0020
Guelfi 1995;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0031;0,0009;0,0012
Deushle 2003;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0031;0,0008;0,0014
Bersani 1994;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0031;0,0007;0,0014
Richou 1995;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0030;0,0003;0,0007
Katona 2012;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0029;0,0006;0,0012
Beasley 1993b;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0029;0,0005;0,0013
Doogan 1994;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0028;0,0019;0,0023
Tollefson 1994;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0028;0,0005;0,0013
Reimherr 1990;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0027;0,0008;0,0012
Zhang 2014;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0027;0,0004;0,0010
Dube 2010;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0027;0,0018;0,0024
Demyttenaere 1998;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0026;0,0007;0,0012
Cutler 2009;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0026;0,0006;0,0011
Clayton 2006_study 1;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0026;0,0016;0,0023
MY-1042/BRL-029060/CPMS-251;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0025;0,0016;0,0023
Godlewska 2012;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0025;0,0017;0,0021
Wang 2014c;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0025;0,0014;0,0021
Mehtonen 2000;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0025;0,0004;0,0008
Akhondzadeh 2003;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0025;0,0007;0,0011
Khan 2007;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0025;0,0003;0,0007
Loo 2002;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0025;0,0014;0,0021
Carman 1991;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0024;0,0013;0,0016
Hunter 2011;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0024;0,0016;0,0019
Tzanakaki 2000;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0024;0,0004;0,0007
Moller 1998;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0024;0,0007;0,0011
