comparison,TE,seTE,lower,upper,statistic,p,z
Acupuncture + AD:No treatment,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:Peer support group,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:Placebo,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:Self-help,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:SNRIs,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:SSRIs,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:TAU,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:TCAs,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:Trazodone,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:Waitlist,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:Yoga group,NA,NA,NA,NA,NA,NA,NA
Acupuncture + AD:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Any AD:Any psychotherapy,NA,NA,NA,NA,NA,NA,NA
Any AD:Attention placebo,NA,NA,NA,NA,NA,NA,NA
Any AD:Behavioural therapies individual,NA,NA,NA,NA,NA,NA,NA
Any AD:Behavioural therapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Any AD:Cognitive and cognitive behavioural therapies group,-1.5024926320938206,0.7291253762567633,-2.9315521097712924,-0.0734331544163489,-2.0606780137147687,0.03933376853358028,-2.0606780137147687
Any AD:Cognitive and cognitive behavioural therapies group + AD,NA,NA,NA,NA,NA,NA,NA
Any AD:Cognitive and cognitive behavioural therapies individual,-1.2265609881489374,0.49741403239998255,-2.2014745770577426,-0.25164739924013235,-2.46587532368333,0.013667889891423484,-2.46587532368333
Any AD:Cognitive and cognitive behavioural therapies individual + AD,4.74013249140852,0.9640807365218393,2.8505689696368663,6.629696013180174,4.916738102775215,8.799815123043587e-7,4.916738102775215
Any AD:Cognitive and cognitive behavioural therapies individual + placebo,NA,NA,NA,NA,NA,NA,NA
Any AD:Counselling individual,NA,NA,NA,NA,NA,NA,NA
Any AD:Counselling individual + AD,NA,NA,NA,NA,NA,NA,NA
Any AD:Counselling individual + placebo,NA,NA,NA,NA,NA,NA,NA
Any AD:Exercise group,NA,NA,NA,NA,NA,NA,NA
Any AD:Exercise group + AD,NA,NA,NA,NA,NA,NA,NA
Any AD:Exercise individual,NA,NA,NA,NA,NA,NA,NA
Any AD:Exercise individual + AD,1.9107475494602009,0.9570448687274292,0.034974075165576046,3.7865210237548257,1.9965078042797495,0.045878677127693605,1.9965078042797495
Any AD:Interpersonal psychotherapy (IPT) individual,-0.15779065916451004,0.6868687200151419,-1.5040286125013138,1.1884472941722939,-0.22972462505066701,0.8183057585688283,-0.22972462505066701
Any AD:Interpersonal psychotherapy (IPT) individual + AD,0.12834145473463512,0.79944759913118,-1.4385470470894919,1.695229956558762,0.1605376698536758,0.872457550166427,0.1605376698536758
Any AD:Interpersonal psychotherapy (IPT) individual + placebo,1.326013447860529,0.8801098274806701,-0.3989701164413444,3.0509970121624024,1.5066454281691932,0.1319015664982341,1.5066454281691932
Any AD:Light therapy,NA,NA,NA,NA,NA,NA,NA
Any AD:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Any AD:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Any AD:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Any AD:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Any AD:No treatment,NA,NA,NA,NA,NA,NA,NA
Any AD:Peer support group,NA,NA,NA,NA,NA,NA,NA
Any AD:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Any AD:Placebo,NA,NA,NA,NA,NA,NA,NA
Any AD:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Any AD:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Any AD:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Any AD:Psychoeducation group + AD,-1.4276647054202853,1.5633786509252336,-4.49183055543256,1.636501144591989,-0.9131918902534389,0.361141628399433,-0.9131918902534389
Any AD:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Any AD:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Any AD:Self-help,NA,NA,NA,NA,NA,NA,NA
Any AD:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Any AD:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Any AD:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Any AD:Short-term psychodynamic psychotherapies individual + AD,0.3988784570644405,1.3485476579758073,-2.2442263840039804,3.041983298132861,0.2957837305232236,0.767395248523727,0.2957837305232236
Any AD:SNRIs,NA,NA,NA,NA,NA,NA,NA
Any AD:SSRIs,NA,NA,NA,NA,NA,NA,NA
Any AD:TAU,-0.8150191460122702,0.7128603704287795,-2.2121997980585597,0.5821615060340191,-1.1433082547737128,0.2529106288985417,-1.1433082547737128
Any AD:TCAs,NA,NA,NA,NA,NA,NA,NA
Any AD:Trazodone,NA,NA,NA,NA,NA,NA,NA
Any AD:Waitlist,NA,NA,NA,NA,NA,NA,NA
Any AD:Yoga group,NA,NA,NA,NA,NA,NA,NA
Any AD:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Attention placebo,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Behavioural therapies individual,1.128039650881888,1.0677406017801336,-0.9646934734382973,3.2207727752020734,1.0564735002127146,0.29075194154343703,1.0564735002127146
Any psychotherapy:Behavioural therapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Cognitive and cognitive behavioural therapies group,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Cognitive and cognitive behavioural therapies group + AD,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Cognitive and cognitive behavioural therapies individual,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Cognitive and cognitive behavioural therapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Cognitive and cognitive behavioural therapies individual + placebo,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Counselling individual,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Counselling individual + AD,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Counselling individual + placebo,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Exercise group,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Exercise group + AD,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Exercise individual,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Exercise individual + AD,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Interpersonal psychotherapy (IPT) individual,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Interpersonal psychotherapy (IPT) individual + AD,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Interpersonal psychotherapy (IPT) individual + placebo,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Light therapy,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:No treatment,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Peer support group,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Placebo,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Self-help,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Short-term psychodynamic psychotherapies individual,-1.1280396508818935,1.0677406017801332,-3.220772775202078,0.9646934734382908,-1.0564735002127201,0.2907519415434346,-1.0564735002127201
Any psychotherapy:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:SNRIs,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:SSRIs,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:TAU,NA,NA,NA,NA,NA,NA,NA
