comparison,TE,seTE,lower,upper,statistic,p,z
Behavioural therapies individual + AD:SSRIs,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:TAU,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:TCAs,-0.45247283239863556,1.1125286098989486,-2.6329888395709857,1.7280431747737146,-0.4067066935381858,0.6842234237523017,-0.4067066935381858
Behavioural therapies individual + AD:Trazodone,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Waitlist,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Yoga group,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Cognitive and cognitive behavioural therapies group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Cognitive and cognitive behavioural therapies individual,0.6815917770494484,0.7973823947291805,-0.8812489985260461,2.244432552624943,0.8547865886616939,0.39266930411045936,0.8547865886616939
Cognitive and cognitive behavioural therapies group:Cognitive and cognitive behavioural therapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Cognitive and cognitive behavioural therapies individual + placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Counselling individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Counselling individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Counselling individual + placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Exercise group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Exercise group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Exercise individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Exercise individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Interpersonal psychotherapy (IPT) individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Interpersonal psychotherapy (IPT) individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Interpersonal psychotherapy (IPT) individual + placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Light therapy,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:No treatment,-0.4537579774738353,0.8300178587304231,-2.0805630871105185,1.1730471321628482,-0.5466845956397774,0.58459543905398,-0.5466845956397774
Cognitive and cognitive behavioural therapies group:Peer support group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Self-help,-0.9845835421162004,0.7972896131834859,-2.5472424692037032,0.5780753849713027,-1.2349132935331633,0.2168627754353204,-1.2349132935331633
Cognitive and cognitive behavioural therapies group:Self-help with support,-0.7863525292426006,0.794860881668727,-2.344251230033059,0.7715461715478578,-0.9892957967584666,0.3225184399574789,-0.9892957967584666
Cognitive and cognitive behavioural therapies group:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:SNRIs,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:SSRIs,0.558526220498002,0.7107326964564268,-0.8344842671916327,1.951536708187637,0.7858456819036239,0.43195790007118895,0.7858456819036239
Cognitive and cognitive behavioural therapies group:TAU,0.6643515858528672,0.737052236863771,-0.7802442531248086,2.108947424830543,0.9013629599439897,0.3673953685277262,0.9013629599439897
Cognitive and cognitive behavioural therapies group:TCAs,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Trazodone,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Waitlist,-2.0289785153844284,0.6927613482946784,-3.386765807923406,-0.6711912228454506,-2.928827539785557,0.0034024314479315777,-2.928827539785557
Cognitive and cognitive behavioural therapies group:Yoga group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Cognitive and cognitive behavioural therapies individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Cognitive and cognitive behavioural therapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Cognitive and cognitive behavioural therapies individual + placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Counselling individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Counselling individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Counselling individual + placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Exercise group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Exercise group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Exercise individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Exercise individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Interpersonal psychotherapy (IPT) individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Interpersonal psychotherapy (IPT) individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Interpersonal psychotherapy (IPT) individual + placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Light therapy,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:No treatment,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Peer support group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Self-help,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:SNRIs,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:SSRIs,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:TAU,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:TCAs,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Trazodone,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Waitlist,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Yoga group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies group + AD:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Cognitive and cognitive behavioural therapies individual + AD,-0.6431406332588925,0.5587244872701465,-1.7382205055889872,0.45193923907120226,-1.1510872494620596,0.2496963430065834,-1.1510872494620596
Cognitive and cognitive behavioural therapies individual:Cognitive and cognitive behavioural therapies individual + placebo,0.42658990654819584,0.9029118603639654,-1.3430848209792345,2.196264634075626,0.47246018717290594,0.6365983528126338,0.47246018717290594
Cognitive and cognitive behavioural therapies individual:Counselling individual,-0.062285458729792575,0.5892562151708192,-1.2172064181309825,1.0926355006713975,-0.10570182736509054,0.9158189304481408,-0.10570182736509054
Cognitive and cognitive behavioural therapies individual:Counselling individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Counselling individual + placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Exercise group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Exercise group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Exercise individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Exercise individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Interpersonal psychotherapy (IPT) individual,0.5404073273033693,0.6526774803011837,-0.7388170276073011,1.8196316822140397,0.8279852509297451,0.40767885274481147,0.8279852509297451
Cognitive and cognitive behavioural therapies individual:Interpersonal psychotherapy (IPT) individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Interpersonal psychotherapy (IPT) individual + placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Light therapy,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:No treatment,-0.25217623027280256,0.46325015528607716,-1.160129850466101,0.6557773899204958,-0.5443629697589043,0.5861917225970441,-0.5443629697589043
Cognitive and cognitive behavioural therapies individual:Peer support group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Placebo,0.5113354195838172,0.6260343583344505,-0.7156693758363483,1.7383402150039826,0.8167849140807749,0.41405135491071715,0.8167849140807749
Cognitive and cognitive behavioural therapies individual:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Self-help,-0.30887443929098346,0.5525932698043835,-1.3919373462067999,0.774188467624833,-0.5589543994995164,0.5761928417042221,-0.5589543994995164
Cognitive and cognitive behavioural therapies individual:Self-help with support,0.28128101914686154,0.5124266093930305,-0.7230566799834521,1.2856187182771752,0.5489196189090161,0.5830606137491827,0.5489196189090161
Cognitive and cognitive behavioural therapies individual:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Short-term psychodynamic psychotherapies individual,0.4558244890364288,0.6594913295004612,-0.8367547649009125,1.7484037429737702,0.6911758633456151,0.4894550300951677,0.6911758633456151
Cognitive and cognitive behavioural therapies individual:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:SNRIs,0.5256503744717971,0.7279040249253769,-0.901015298583687,1.9523160475272812,0.7221424205281536,0.4702069197026688,0.7221424205281536
Cognitive and cognitive behavioural therapies individual:SSRIs,-0.15653768190054917,0.43449728141490307,-1.0081367048543237,0.6950613410532253,-0.36027309858141726,0.7186429146938511,-0.36027309858141726
Cognitive and cognitive behavioural therapies individual:TAU,0.45226984307545504,0.5402811363697881,-0.606661725735703,1.511201411886613,0.8371009325150768,0.40253583628796713,0.8371009325150768
Cognitive and cognitive behavioural therapies individual:TCAs,0.016836532873186316,0.33349988964505795,-0.6368112396792096,0.6704843054255822,0.050484373146585874,0.9597364019475869,0.050484373146585874
Cognitive and cognitive behavioural therapies individual:Trazodone,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Waitlist,-0.42694712541250057,0.5169968500847187,-1.4402423316992026,0.5863480808742014,-0.8258215216253987,0.408905343740592,-0.8258215216253987
Cognitive and cognitive behavioural therapies individual:Yoga group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Cognitive and cognitive behavioural therapies individual + placebo,0.5830066645387334,1.2262627742934278,-1.8204242086585536,2.9864375377360206,0.47543371352413566,0.6344778694202315,0.47543371352413566
Cognitive and cognitive behavioural therapies individual + AD:Counselling individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Counselling individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Counselling individual + placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Exercise group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Exercise group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Exercise individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Exercise individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Interpersonal psychotherapy (IPT) individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Interpersonal psychotherapy (IPT) individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Interpersonal psychotherapy (IPT) individual + placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Light therapy,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:No treatment,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Peer support group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Self-help,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:SNRIs,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:SSRIs,0.7822120226985079,0.5586828349855352,-0.31278621265387496,1.8772102580508907,1.400100331915084,0.16148327569088064,1.400100331915084
Cognitive and cognitive behavioural therapies individual + AD:TAU,0.9004753680376472,0.7697861329215075,-0.6082777282868701,2.4092284643621644,1.1697734338499257,0.24209215728238806,1.1697734338499257
Cognitive and cognitive behavioural therapies individual + AD:TCAs,0.6694668474539229,0.5695116471678437,-0.44675546977113334,1.7856891646789792,1.1755103706537908,0.23979059060231606,1.1755103706537908
Cognitive and cognitive behavioural therapies individual + AD:Trazodone,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Waitlist,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Yoga group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + AD:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Counselling individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Counselling individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Counselling individual + placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Exercise group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Exercise group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Exercise individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Exercise individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Interpersonal psychotherapy (IPT) individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Interpersonal psychotherapy (IPT) individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Interpersonal psychotherapy (IPT) individual + placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Light therapy,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:No treatment,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Peer support group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Self-help,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:SNRIs,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:SSRIs,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:TAU,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:TCAs,0.2133373692986087,0.9017186093756155,-1.5539986292671388,1.9806733678643562,0.23658973773019018,0.8129750823126515,0.23658973773019018
Cognitive and cognitive behavioural therapies individual + placebo:Trazodone,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Waitlist,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Yoga group,NA,NA,NA,NA,NA,NA,NA
Cognitive and cognitive behavioural therapies individual + placebo:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Counselling individual + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Counselling individual + placebo,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Exercise group,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Exercise group + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Exercise individual,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Exercise individual + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Interpersonal psychotherapy (IPT) individual,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Interpersonal psychotherapy (IPT) individual + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Interpersonal psychotherapy (IPT) individual + placebo,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Light therapy,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Counselling individual:No treatment,-1.1568723703085164,0.7053792752316485,-2.5393903452035134,0.22564560458648053,-1.6400713926966404,0.10099032369130871,-1.6400713926966404
Counselling individual:Peer support group,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Placebo,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Problem solving individual,0.6907567551574503,0.6731705514174087,-0.628633281073639,2.0101467913885394,1.0261244400887897,0.3048329315073637,1.0261244400887897
Counselling individual:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Self-help,0.682154050240577,0.7258106314586861,-0.7404086470147218,2.1047167474958757,0.9398512789343262,0.34729385137792324,0.9398512789343262
Counselling individual:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual:SNRIs,NA,NA,NA,NA,NA,NA,NA
Counselling individual:SSRIs,NA,NA,NA,NA,NA,NA,NA
Counselling individual:TAU,-0.1525215317576708,0.7478543119322667,-1.6182890488278963,1.3132459853125549,-0.20394551361694188,0.8383960777334547,-0.20394551361694188
Counselling individual:TCAs,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Trazodone,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Waitlist,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Yoga group,NA,NA,NA,NA,NA,NA,NA
Counselling individual:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Counselling individual + placebo,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Exercise group,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Exercise group + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Exercise individual,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Exercise individual + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Interpersonal psychotherapy (IPT) individual,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Interpersonal psychotherapy (IPT) individual + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Interpersonal psychotherapy (IPT) individual + placebo,NA,NA,NA,NA,NA,NA,NA
