study,treatment,mean,std.dev,sampleSize
Costa 1998,trt_038,-2.956924934954331,1,196
Costa 1998,trt_039,-2.8463856850494964,1,186
De Ronchi 1998,trt_039,-1.4556023777258733,1,32
De Ronchi 1998,trt_046,-1.6065347859610692,1,33
DeJonghe 2001/Kool 2003,trt_003,-1.3246624839963865,1,20
DeJonghe 2001/Kool 2003,trt_044,-1.2533345040888888,1,23
DeNayer 2002,trt_038,-1.7718682785971096,1,64
DeNayer 2002,trt_039,-1.2796826456534682,1,67
Demyttenaere 1998,trt_039,-3.0367779198920606,1,35
Demyttenaere 1998,trt_046,-3.380946084146494,1,31
Detke 2004,trt_031,-1.494374135519851,1,93
Detke 2004,trt_038,-3.922732105739609,1,186
Detke 2004,trt_039,-1.9868383392707107,1,85
Deushle 2003,trt_039,-1.6011243217668556,1,40
Deushle 2003,trt_046,-1.9830438847571148,1,40
Diaz-Martinez 1998,trt_038,-3.2369975817926164,1,55
Diaz-Martinez 1998,trt_039,-3.3631143706936273,1,55
Dierick 1996,trt_038,-1.999235907237953,1,153
Dierick 1996,trt_039,-1.7416656369803025,1,161
Duan 2009,trt_002,-2.8832522637522175,1,46
Duan 2009,trt_039,-2.6096589832501826,1,44
Dube 2010,trt_031,-1.4716015692239206,1,122
Dube 2010,trt_039,-1.6980018106429853,1,54
Dubey 2012,trt_038,-2.724378696730348,1,30
Dubey 2012,trt_046,-3.4313462322410357,1,30
E-1569,trt_026,-1.7269819589980488,1,72
E-1569,trt_039,-2.1233384741779293,1,72
Eli Lilly HMAT-A,trt_031,-0.7481296847786578,1,89
Eli Lilly HMAT-A,trt_038,-0.9875937889023704,1,81
Eli Lilly HMAT-A,trt_039,-1.1581923990297214,1,87
Elkin 1989/Imber 1990,trt_010,-1.3041262180874336,1,59
Elkin 1989/Imber 1990,trt_020,-1.4360041502535785,1,61
Elkin 1989/Imber 1990,trt_031,-0.9231455251630147,1,62
Elkin 1989/Imber 1990,trt_046,-1.4213510466795622,1,57
Emsley 2018,trt_031,-1.622914824792174,1,106
Emsley 2018,trt_039,-2.323330696544586,1,98
FDA 244 (EMD 68 843-009),trt_031,-1.2222015845409173,1,95
FDA 244 (EMD 68 843-009),trt_039,-1.1959176794970265,1,89
FDA 245 (EMD 68 843-010),trt_031,-1.304062223617183,1,99
FDA 245 (EMD 68 843-010),trt_039,-1.419126537465758,1,92
Fabre 1992,trt_031,-0.37733978640554694,1,36
Fabre 1992,trt_039,-1.1258536764322367,1,38
Fabre 1992,trt_046,-0.9396500563432247,1,37
Fabre 1995a,trt_031,-0.5665259780306127,1,86
Fabre 1995a,trt_039,-2.206469598645544,1,261
Fagiolini 2020,trt_038,-2.195135649218085,1,152
Fagiolini 2020,trt_047,-1.9263435289056665,1,165
Farabaugh 2015,trt_010,-1.3090726335237668,1,15
Farabaugh 2015,trt_039,-0.8107324832618783,1,11
Fava 1998a,trt_031,-0.9046776777540619,1,19
Fava 1998a,trt_039,-1.707969064035686,1,109
Fava 2005,trt_031,-1.2208279650102336,1,43
Fava 2005,trt_039,-1.053591257474585,1,47
Fawcett 1989,trt_039,-1.7153665325724499,1,19
Fawcett 1989,trt_046,-1.4135890870272965,1,19
Feighner 1982,trt_031,-2.3655180363638006,1,45
Feighner 1982,trt_046,-4.731036072727601,1,94
Fonagy 2019,trt_010,-0.7728168584254335,1,20
Fonagy 2019,trt_041,-0.5326170240499609,1,54
Fonagy 2019,trt_043,-1.0639286142174464,1,73
Forest Laboratories 2000,trt_031,-0.8688105284661573,1,125
Forest Laboratories 2000,trt_039,-2.009124347077989,1,243
Forest Laboratories 2010,trt_031,-0.6620651210928867,1,215
Forest Laboratories 2010,trt_039,-1.7992593290877277,1,637
Forest Research Institute 2003,trt_031,-0.9438998287401276,1,151
Forest Research Institute 2003,trt_039,-1.2553867722243697,1,143
