study,treatment,mean,std.dev,sampleSize
Roose 2004,trt_039,-3.4181704561609987,1,84
Ropert 1989,trt_039,-2.6569126395309395,1,54
Ropert 1989,trt_046,-2.423337901989758,1,46
Roy 2018,trt_016,-0.9882485669986102,1,20
Roy 2018,trt_028,-0.6205281699758716,1,20
Rush 1977/Kovacs 1981,trt_010,-2.4593670230878977,1,19
Rush 1977/Kovacs 1981,trt_046,-1.3545271970296746,1,22
SER 315 (FDA),trt_031,-0.9283063036674795,1,73
SER 315 (FDA),trt_039,-1.0592212952103293,1,76
SER 315 (FDA),trt_046,-1.3805580926336873,1,70
Sahranavard 2018,trt_008,-5.501275959207177,1,10
Sahranavard 2018,trt_010,-5.973778188832333,1,10
Sahranavard 2018,trt_048,-1.4850070073933486,1,10
Salminen 2008,trt_039,-1.994788247864486,1,25
Salminen 2008,trt_043,-1.9591670291526204,1,26
Saloheimo 2016,trt_003,-1.7417033245710276,1,34
Saloheimo 2016,trt_021,-1.4278829057294011,1,38
Saloheimo 2016,trt_035,-1.3023547381927505,1,27
Samuelian 1998,trt_038,-1.3621259742511,1,52
Samuelian 1998,trt_046,-1.46070088028243,1,46
Sauer 2003,trt_038,-1.7066608125984115,1,76
Sauer 2003,trt_046,-1.685530726347193,1,75
Schatzberg 2002,trt_026,-4.002092381332143,1,128
Schatzberg 2002,trt_039,-4.002092381332143,1,126
Schmidt 1983,trt_008,-2.7538185193936653,1,22
Schmidt 1983,trt_040,-1.7267796453575037,1,12
Schmidt 1983,trt_041,-1.8509272015596767,1,12
Schmidt 1983,trt_048,-0.4853040833357689,1,10
Schweizer 1994,trt_031,-1.0811532966278634,1,78
Schweizer 1994,trt_038,-1.6535285713132029,1,64
Schweizer 1994,trt_046,-1.3885400182181382,1,71
Scott 1992,trt_010,-1.7195187971900827,1,29
Scott 1992,trt_045,-1.6750484834696497,1,29
Scott 1992,trt_046,-1.511990666494728,1,26
Serrano-Blanco 2006,trt_039,-1.4576240297628322,1,49
Serrano-Blanco 2006,trt_046,-1.4805787388929557,1,45
Sharma 2005,trt_003,-1.870356666165212,1,15
Sharma 2005,trt_050,-3.0622968085828406,1,15
Sheehan 2009a,trt_031,-1.1551855220001652,1,204
Sheehan 2009a,trt_047,-1.416033865677622,1,202
Sheehan 2009b,trt_031,-1.361401873442175,1,95
Sheehan 2009b,trt_038,-1.7666104165356722,1,95
Sheehan 2009b,trt_039,-1.410817549429187,1,99
Shelton 2006,trt_038,-2.2880097552353065,1,78
Shelton 2006,trt_039,-2.035788207414092,1,82
Silverstone 1994,trt_031,-2.4672676246913814,1,69
Silverstone 1994,trt_046,-2.7465809406941797,1,66
Singh 2005,trt_016,-2.37266737505037,1,35
Singh 2005,trt_045,-0.7575383787811422,1,19
Sir 2005,trt_038,-1.7033704064588213,1,79
Sir 2005,trt_039,-1.8939573050835847,1,79
Smeraldi 1998b,trt_038,-1.4677236493877763,1,55
Smeraldi 1998b,trt_046,-1.5454838427328241,1,58
Smeraldi 1998b,trt_047,-0.9817224409812279,1,57
Sneed 2014,trt_039,-1.7171283313577568,1,58
Sneed 2014,trt_046,-1.9641125434023659,1,52
Solati 2016,trt_003,-1.4399965716182679,1,20
Solati 2016,trt_009,-2.258411889300595,1,20
Spring 1992,trt_031,-1.4695048296771414,1,15
Spring 1992,trt_046,-2.0974983466331847,1,10
Sramek 1995,trt_031,-0.9845820941521826,1,70
Sramek 1995,trt_039,-1.3230321890169952,1,72
Staner 1995,trt_039,-0.9624509445713874,1,21
Staner 1995,trt_046,-1.561048483268226,1,19
Stark 1985,trt_031,-0.839427663814213,1,169
Stark 1985,trt_039,-1.1260615002385783,1,185
Stark 1985,trt_046,-1.2284307275329946,1,185
Study 62b (FDA),trt_031,-0.4838540185261674,1,48
Study 62b (FDA),trt_039,-1.443908828571937,1,200
Study 89306 (FDA),trt_031,-0.9309184309048288,1,88
Study 89306 (FDA),trt_039,-1.983235628974676,1,185
Study F1J-MC-HMAQ - Study Group B,trt_031,-1.0321621213739565,1,72
Study F1J-MC-HMAQ - Study Group B,trt_038,-1.162999573379106,1,81
Study F1J-MC-HMAQ - Study Group B,trt_039,-1.1092108431103223,1,37
Suleman 1997,trt_039,-6.5376329937746025,1,15
Suleman 1997,trt_046,-5.711448604451439,1,15
Sun 2013,trt_001,-6.608328465713579,1,36
Sun 2013,trt_039,-2.7190771056573135,1,25
Thase 2018,trt_010,-1.9977847510277764,1,77
Thase 2018,trt_041,-2.0938320948271887,1,77
Tollefson 1993/1995,trt_031,-0.8703809037592211,1,329
Tollefson 1993/1995,trt_039,-1.1015758313202642,1,326
Tollefson 1994,trt_039,-1.357241338615699,1,62
Tollefson 1994,trt_046,-1.2350896181402862,1,60
Tong 2020,trt_003,-3.722901298988854,1,45
Tong 2020,trt_009,-4.254744341701547,1,43
Tsutsui 2000,trt_039,-1.315217391304348,1,106
Tsutsui 2000,trt_047,-1.0543478260869565,1,105
Tzanakaki 2000,trt_038,-2.5013077383325895,1,55
Tzanakaki 2000,trt_039,-2.5013077383325895,1,54
Umadevi 2013,trt_048,-0.4933082037723479,1,23
Umadevi 2013,trt_049,-2.2529876838953555,1,20
VEN 600A-303 (FDA),trt_031,-1.1704142011834322,1,79
VEN 600A-303 (FDA),trt_038,-1.2000000000000002,1,69
VEN 600A-313 (FDA),trt_031,-0.8835912145083802,1,75
VEN 600A-313 (FDA),trt_038,-2.1181981169721444,1,149
VEN XR 367 (FDA),trt_031,-1.235877024784999,1,81
VEN XR 367 (FDA),trt_038,-1.3802199139392777,1,75
VEN XR 367 (FDA),trt_039,-1.0622881907693962,1,80
Valle-Cabrera 2018,trt_031,-5.473949901134036,1,38
Valle-Cabrera 2018,trt_039,-5.473949901134036,1,39
Van Moffaert 1995b,trt_026,-2.8009045420309833,1,100
Van Moffaert 1995b,trt_047,-2.8009045420309833,1,100
Versiani 1989,trt_031,-2.7734219672418527,1,162
Versiani 1989,trt_046,-2.7734219672418527,1,164
Versiani 1999,trt_039,-2.2426449681006546,1,77
Versiani 1999,trt_046,-2.445293609796497,1,79
WELL AK1A4006,trt_031,-1.1831036232295415,1,148
WELL AK1A4006,trt_039,-1.3479623248271007,1,146
Wade 2002,trt_031,-1.517519406154346,1,189
Wade 2002,trt_039,-1.8842532626416464,1,188
Wade 2007,trt_038,-3.589149409422557,1,146
Wade 2007,trt_039,-3.937723864148075,1,141
Wang 2013,trt_001,-1.5993899597925685,1,24
Wang 2013,trt_039,-1.6680395745051264,1,24
Wang 2014a,trt_002,-5.043692541318646,1,45
Wang 2014a,trt_039,-4.413628741204393,1,26
Ward 2000/King 2000,trt_010,-1.3305131008949562,1,63
Ward 2000/King 2000,trt_013,-1.2504822376832294,1,67
Ward 2000/King 2000,trt_045,-0.8203163479201985,1,67
Wernicke 1987,trt_031,-0.4010768821217907,1,48
Wernicke 1987,trt_039,-1.8716921165683569,1,297
Wernicke 1988,trt_031,-0.6417039968512642,1,77
Wernicke 1988,trt_039,-1.9434463904638288,1,183
White 1984,trt_031,-1.9945245893781938,1,45
White 1984,trt_046,-1.3727022173955803,1,40
Wilson 1982,trt_007,-1.6181556963780592,1,12
Wilson 1982,trt_031,-1.2236858231028807,1,12
Wilson 1982,trt_036,-1.729507552497779,1,10
Wilson 1982,trt_037,-1.0981188364146857,1,11
Wilson 1982,trt_046,-1.3267455197243236,1,10
Wright 2005,trt_010,-1.349400258362478,1,15
Wright 2005,trt_041,-1.2193375828576607,1,15
Wright 2005,trt_048,-0.3088988543239407,1,15
Zhang 2007a,trt_002,-4.208147435480274,1,22
Zhang 2007a,trt_039,-3.557797377269687,1,20
Zhang 2014,trt_031,-1.2753846153846153,1,180
Zhang 2014,trt_047,-1.7030769230769232,1,183
Zhang 2019,trt_026,-7.5120439010584,1,79
Zhang 2019,trt_039,-6.99234275067071,1,79
Zhao 2006,trt_039,-2.007868124803863,1,58
Zhao 2006,trt_047,-1.493776286085966,1,55
Zhao 2019a,trt_002,-4.437248585847426,1,321
Zhao 2019a,trt_039,-1.8812298151979872,1,156
Zivkov 1995,trt_026,-1.7459537301922823,1,113
Zivkov 1995,trt_046,-1.791899880986816,1,111
Zu 2014,trt_010,-1.7290983262665574,1,12
Zu 2014,trt_011,-1.7651212080637775,1,43
Zu 2014,trt_039,-1.242789422004088,1,25
Zu 2014,trt_045,-1.4048923900915777,1,16
