comparison,TE,seTE,lower,upper,statistic,p,z,comp_key
Exercise group:SSRIs,0.3418273870102717,0.758831514864412,-1.145455052457946,1.8291098264784895,0.4504654594786425,0.6523748543506198,0.4504654594786425,Exercise group : SSRIs
Exercise individual:Placebo,0.9347824098433793,0.7503902811014835,-0.5359555154644152,2.405520335151174,1.245728300839971,0.21286415997508507,1.245728300839971,Exercise individual : Placebo
Exercise individual:SSRIs,0.36820049712275804,0.7296990104609162,-1.0619832829351536,1.7983842771806695,0.5045922933213014,0.6138452238413031,0.5045922933213014,Exercise individual : SSRIs
Exercise individual + AD:SSRIs,1.1157411023517296,0.932865212589756,-0.7126411167544926,2.944123321457952,1.1960367771184073,0.23168220756970548,1.1960367771184073,Exercise individual + AD : SSRIs
Interpersonal psychotherapy (IPT) individual:Placebo,0.06148618366812042,0.7178941526998439,-1.3455605003354714,1.4685328676717122,0.08564797949235865,0.9317462564399678,0.08564797949235865,Interpersonal psychotherapy (IPT) individual : Placebo
Interpersonal psychotherapy (IPT) individual:TCAs,-0.12182905918102728,0.7175720877165274,-1.5282445074166373,1.2845863890545826,-0.16977954029498865,0.8651835177934413,-0.16977954029498865,Interpersonal psychotherapy (IPT) individual : TCAs
Light therapy:Placebo,0.3841674497124701,1.1761557389290003,-1.9210554387984642,2.6893903382234043,0.3266297455320759,0.7439479427815563,0.3266297455320759,Light therapy : Placebo
Light therapy:SSRIs,-0.5616203777534485,1.181306507184239,-2.876938586537363,1.753697831030466,-0.47542307973239417,0.6344854472693193,-0.47542307973239417,Light therapy : SSRIs
Light therapy + AD:Placebo,0.10779339961333645,0.8453565862203892,-1.549075063472355,1.7646618626990278,0.12751234374985293,0.8985349040309872,0.12751234374985293,Light therapy + AD : Placebo
Light therapy + AD:SSRIs,-0.3711284056414964,0.8443987819541625,-2.026119606861145,1.2838627955781519,-0.43951793106878595,0.6602862922906643,-0.43951793106878595,Light therapy + AD : SSRIs
Mirtazapine:Placebo,-0.19927757393773404,0.2943582275721312,-0.7762090985321561,0.37765395065668805,-0.6769899913495774,0.4984123046362886,-0.6769899913495774,Mirtazapine : Placebo
Mirtazapine:SSRIs,0.05304745397770913,0.2590767096551607,-0.4547335661795462,0.5608284741349645,0.20475578081996243,0.8377629367619344,0.20475578081996243,Mirtazapine : SSRIs
No treatment:SSRIs,-0.482412709535375,0.5254703770600446,-1.5123157235157445,0.5474903044449946,-0.9180588109160919,0.35858807717813196,-0.9180588109160919,No treatment : SSRIs
Problem solving individual:Placebo,0.0776926534630289,0.7477525561945493,-1.3878754260260502,1.543260732952108,0.10390155515939811,0.9172474729505288,0.10390155515939811,Placebo : Problem solving individual
Relaxation individual + AD:Placebo,1.135168770568957,1.4384899988755278,-1.6842198193481395,3.9545573604860538,0.7891391469223437,0.4300306839602816,0.7891391469223437,Placebo : Relaxation individual + AD
Relaxation individual + placebo:Placebo,1.113570977315579,1.4116533185244577,-1.6532186856488067,3.8803606402799646,0.7888416813836051,0.4302045446059298,0.7888416813836051,Placebo : Relaxation individual + placebo
Trazodone:Placebo,0.06886391529109526,0.456857565052939,-0.8265604582773298,0.9642882888595203,0.15073388416609793,0.8801856429098578,0.15073388416609793,Placebo : Trazodone
Problem solving individual:TCAs,0.1922769428646095,0.7437211231357839,-1.2653896730232055,1.6499435587524243,0.25853365849541,0.7959950758949706,0.25853365849541,Problem solving individual : TCAs
Relaxation individual + AD:TCAs,-0.8926462790929429,1.3995373554269663,-3.635689090748229,1.850396532562343,-0.6378152577575303,0.5235939462318786,-0.6378152577575303,Relaxation individual + AD : TCAs
Relaxation individual + placebo:TCAs,-0.8774602658582119,1.3713839607586575,-3.5653234379210708,1.8104029062046467,-0.6398355901528816,0.5222794918831644,-0.6398355901528816,Relaxation individual + placebo : TCAs
Short-term psychodynamic psychotherapies individual:SSRIs,0.3110642953816372,0.7531112989133555,-1.1650067268387183,1.7871353176019926,0.4130389436866287,0.67957808155184,0.4130389436866287,Short-term psychodynamic psychotherapies individual : SSRIs
SSRIs:TAU,0.4113974799116793,0.7244031806404475,-1.0084066644298604,1.831201624253219,0.567912304785798,0.5700945163050717,0.567912304785798,SSRIs : TAU
SSRIs:Trazodone,0.17252202520888346,0.3490887428876862,-0.5116793382593443,0.8567233886771113,0.49420678473264235,0.6211601486386036,0.49420678473264235,SSRIs : Trazodone
TAU:TCAs,-0.5508388407516452,0.7056511359025877,-1.9338896527704956,0.8322119712672053,-0.780610719271465,0.4350314852935107,-0.780610719271465,TAU : TCAs
TCAs:Trazodone,-0.49391444824886505,0.49156340086387973,-1.4573610100600944,0.4695321135623643,-1.0047827958323454,0.3150014498094972,-1.0047827958323454,TCAs : Trazodone
