treatment_id,SUCRA,model,class,rank
trt_012,0.21396811224489798,sens_exclude_binary_response_converted,Cognitive and cognitive behavioural therapies individual + placebo,43
trt_050,0.20222661564625852,sens_exclude_binary_response_converted,Yoga group + AD,44
trt_001,0.1766985544217687,sens_exclude_binary_response_converted,Acupuncture,45
trt_011,0.16563690476190476,sens_exclude_binary_response_converted,Cognitive and cognitive behavioural therapies individual + AD,46
trt_002,0.1094906462585034,sens_exclude_binary_response_converted,Acupuncture + AD,47
trt_032,0.049002976190476194,sens_exclude_binary_response_converted,Problem solving group,48
trt_017,0.019926020408163266,sens_exclude_binary_response_converted,Exercise group + AD,49
trt_025,0.006239795918367346,sens_exclude_binary_response_converted,Mindfulness or meditation group,50
trt_035,0.9281579861111111,sens_exclude_baseline_followup,Psychoeducation group + AD,1
trt_021,0.9085850694444444,sens_exclude_baseline_followup,Interpersonal psychotherapy (IPT) individual + AD,2
trt_003,0.8763038194444444,sens_exclude_baseline_followup,Any AD,3
trt_031,0.7675859374999999,sens_exclude_baseline_followup,Placebo,4
trt_042,0.755935763888889,sens_exclude_baseline_followup,Sham acupuncture,5
trt_048,0.7111276041666666,sens_exclude_baseline_followup,Waitlist,6
trt_001,0.607359375,sens_exclude_baseline_followup,Acupuncture,7
trt_047,0.5479592013888889,sens_exclude_baseline_followup,Trazodone,8
trt_016,0.5107447916666666,sens_exclude_baseline_followup,Exercise group,9
trt_028,0.5036597222222222,sens_exclude_baseline_followup,No treatment,10
trt_018,0.4991996527777778,sens_exclude_baseline_followup,Exercise individual,11
trt_046,0.4894366319444445,sens_exclude_baseline_followup,TCAs,12
trt_043,0.47362586805555557,sens_exclude_baseline_followup,Short-term psychodynamic psychotherapies individual,13
trt_038,0.46582552083333334,sens_exclude_baseline_followup,SNRIs,14
trt_008,0.4580625,sens_exclude_baseline_followup,Cognitive and cognitive behavioural therapies group,15
trt_039,0.4510607638888889,sens_exclude_baseline_followup,SSRIs,16
trt_045,0.4313888888888889,sens_exclude_baseline_followup,TAU,17
trt_026,0.40912413194444447,sens_exclude_baseline_followup,Mirtazapine,18
trt_041,0.3458046875,sens_exclude_baseline_followup,Self-help with support,19
trt_019,0.3293689236111111,sens_exclude_baseline_followup,Exercise individual + AD,20
trt_023,0.30144965277777774,sens_exclude_baseline_followup,Light therapy,21
trt_011,0.28473350694444444,sens_exclude_baseline_followup,Cognitive and cognitive behavioural therapies individual + AD,22
trt_010,0.2765052083333333,sens_exclude_baseline_followup,Cognitive and cognitive behavioural therapies individual,23
trt_024,0.16514409722222223,sens_exclude_baseline_followup,Light therapy + AD,24
trt_002,0.0018506944444444445,sens_exclude_baseline_followup,Acupuncture + AD,25
