t1,treatment_1,t2,treatment_2,mean,lcl,ucl,effect_95CrI
trt_039,SSRIs,trt_001,Acupuncture,0.05921581887500743,-0.9308940579149954,0.6530832610268091,0.059 (-0.931 to 0.653)
trt_040,Self-help,trt_001,Acupuncture,0.06266772220412649,-1.0949070563048349,0.6535072477960285,0.063 (-1.095 to 0.654)
trt_041,Self-help with support,trt_001,Acupuncture,0.05004327517219655,-1.121533399379217,0.6533863134768144,0.050 (-1.122 to 0.653)
trt_042,Sham acupuncture,trt_001,Acupuncture,-0.11243500612821733,-1.3665420084147821,0.6530805910119216,-0.112 (-1.367 to 0.653)
trt_043,Short-term psychodynamic psychotherapies individual,trt_001,Acupuncture,0.07667717954082555,-1.1706515062496627,0.6551379337275633,0.077 (-1.171 to 0.655)
trt_044,Short-term psychodynamic psychotherapies individual + AD,trt_001,Acupuncture,-0.04490369707634204,-1.817798190255002,0.6625032139675229,-0.045 (-1.818 to 0.663)
trt_045,TAU,trt_001,Acupuncture,-0.06096406959490611,-1.3662571449668954,0.6531534386051998,-0.061 (-1.366 to 0.653)
trt_046,TCAs,trt_001,Acupuncture,0.10142212907277158,-0.8562177647989736,0.6531433156051203,0.101 (-0.856 to 0.653)
trt_047,Trazodone,trt_001,Acupuncture,-0.015458463960385128,-1.17101654993942,0.6530933001023664,-0.015 (-1.171 to 0.653)
trt_048,Waitlist,trt_001,Acupuncture,-0.6374118690810944,-2.4294163112356566,0.6530805910119216,-0.637 (-2.429 to 0.653)
trt_049,Yoga group,trt_001,Acupuncture,0.18894026596706473,-1.1601266049675687,0.7074667406577054,0.189 (-1.160 to 0.707)
trt_050,Yoga group + AD,trt_001,Acupuncture,0.6025987809768288,-0.7098903943291336,1.9125913646795412,0.603 (-0.710 to 1.913)
trt_001,Acupuncture,trt_002,Acupuncture + AD,-0.07415224810904017,-1.3767877812328606,0.6531429642743322,-0.074 (-1.377 to 0.653)
trt_003,Any AD,trt_002,Acupuncture + AD,-0.3684655493668559,-1.9572622598391907,0.6530805910119216,-0.368 (-1.957 to 0.653)
trt_004,Any psychotherapy,trt_002,Acupuncture + AD,-0.8805891314524694,-3.4179754670749,0.6530805910119216,-0.881 (-3.418 to 0.653)
trt_005,Attention placebo,trt_002,Acupuncture + AD,-0.921623779083169,-3.4190514935422307,0.6530805910119216,-0.922 (-3.419 to 0.653)
trt_006,Behavioural therapies individual,trt_002,Acupuncture + AD,-1.104378399279771,-3.6835413305697666,0.6530805910119216,-1.104 (-3.684 to 0.653)
trt_007,Behavioural therapies individual + AD,trt_002,Acupuncture + AD,-0.24170310428927055,-2.1237771523251414,0.6540955597351444,-0.242 (-2.124 to 0.654)
trt_008,Cognitive and cognitive behavioural therapies group,trt_002,Acupuncture + AD,-0.10542703222444642,-1.473709121597901,0.6531385894294912,-0.105 (-1.474 to 0.653)
trt_009,Cognitive and cognitive behavioural therapies group + AD,trt_002,Acupuncture + AD,-0.035480780117575474,-1.6571799151369844,0.6578007789030823,-0.035 (-1.657 to 0.658)
trt_010,Cognitive and cognitive behavioural therapies individual,trt_002,Acupuncture + AD,-0.19665590605721497,-1.5127801656530002,0.6530805910119216,-0.197 (-1.513 to 0.653)
trt_011,Cognitive and cognitive behavioural therapies individual + AD,trt_002,Acupuncture + AD,0.17788526635857652,-0.8828417431466331,0.6562211836410069,0.178 (-0.883 to 0.656)
trt_012,Cognitive and cognitive behavioural therapies individual + placebo,trt_002,Acupuncture + AD,0.12229389888306609,-1.242215540117235,0.6652426081936158,0.122 (-1.242 to 0.665)
trt_013,Counselling individual,trt_002,Acupuncture + AD,-0.28221438117711306,-1.8602094415833135,0.6530805910119216,-0.282 (-1.860 to 0.653)
trt_014,Counselling individual + AD,trt_002,Acupuncture + AD,-0.5439497416748845,-2.918808649400357,0.6533668601601277,-0.544 (-2.919 to 0.653)
trt_015,Counselling individual + placebo,trt_002,Acupuncture + AD,-0.7165852838241392,-3.689556445098217,0.6542909230357176,-0.717 (-3.690 to 0.654)
trt_016,Exercise group,trt_002,Acupuncture + AD,-0.13957284278261392,-1.6335952188123901,0.6532321591276093,-0.140 (-1.634 to 0.653)
trt_017,Exercise group + AD,trt_002,Acupuncture + AD,1.1449779598443603,0.5312004753898493,2.8143256574927036,1.145 (0.531 to 2.814)
trt_018,Exercise individual,trt_002,Acupuncture + AD,-0.2100295368424563,-1.7650941216351954,0.6531143377530946,-0.210 (-1.765 to 0.653)
trt_019,Exercise individual + AD,trt_002,Acupuncture + AD,0.10951341265955217,-1.2839193006804352,0.6642674926052579,0.110 (-1.284 to 0.664)
trt_020,Interpersonal psychotherapy (IPT) individual,trt_002,Acupuncture + AD,-0.3644753079255813,-2.0407245403676293,0.6530805910119216,-0.364 (-2.041 to 0.653)
trt_021,Interpersonal psychotherapy (IPT) individual + AD,trt_002,Acupuncture + AD,-0.263493253495127,-1.9154198618061746,0.6531385894294912,-0.263 (-1.915 to 0.653)
trt_022,Interpersonal psychotherapy (IPT) individual + placebo,trt_002,Acupuncture + AD,-0.38721525726147454,-2.227626281588772,0.6531143377530946,-0.387 (-2.228 to 0.653)
trt_023,Light therapy,trt_002,Acupuncture + AD,-0.1521609535947796,-1.9196510527540491,0.6549097143759239,-0.152 (-1.920 to 0.655)
trt_024,Light therapy + AD,trt_002,Acupuncture + AD,-0.0019261989985637441,-1.4463303525623576,0.6551397476767752,-0.002 (-1.446 to 0.655)
trt_025,Mindfulness or meditation group,trt_002,Acupuncture + AD,1.5120875928770543,0.5563416660034496,3.725025797981376,1.512 (0.556 to 3.725)
trt_026,Mirtazapine,trt_002,Acupuncture + AD,-0.27022407424721834,-1.6349322677852731,0.6530805910119216,-0.270 (-1.635 to 0.653)
trt_027,Music therapy group,trt_002,Acupuncture + AD,-0.22170063130975837,-2.3865190085553745,0.6597291652077188,-0.222 (-2.387 to 0.660)
trt_028,No treatment,trt_002,Acupuncture + AD,-0.5541423479738655,-2.301217987571079,0.6530805910119216,-0.554 (-2.301 to 0.653)
trt_029,Peer support group,trt_002,Acupuncture + AD,-0.024596818417373725,-1.8780265363502318,0.6728584854888469,-0.025 (-1.878 to 0.673)
trt_030,Peer support group + AD,trt_002,Acupuncture + AD,0.03584065475970385,-1.7548559950934899,0.698462345627253,0.036 (-1.755 to 0.698)
trt_031,Placebo,trt_002,Acupuncture + AD,-0.5754230871135892,-2.1978579026510916,0.6530805910119216,-0.575 (-2.198 to 0.653)
trt_032,Problem solving group,trt_002,Acupuncture + AD,0.884146449233142,0.14883162795606697,2.168777877314572,0.884 (0.149 to 2.169)
trt_033,Problem solving individual,trt_002,Acupuncture + AD,-0.1308441654135252,-1.5827599097934184,0.6531552009286231,-0.131 (-1.583 to 0.653)
