component,treatments,n_treatments
1,trt_001 | trt_042 | trt_048 | trt_010 | trt_041 | trt_011 | trt_039 | trt_045 | trt_028 | trt_031 | trt_046 | trt_038 | trt_047 | trt_026 | trt_016 | trt_018 | trt_008 | trt_019 | trt_023 | trt_024 | trt_002 | trt_043 | trt_003 | trt_021 | trt_035,25
2,trt_014 | trt_015,2
